schedule_list,,,,
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
6,0,10,9,0
1,3,10,9,0
5,4,10,9,0
9,7,10,9,0
2,8,10,9,0
7,2,12,9,0
0,5,12,9,0
8,1,13,9,0
3,6,13,9,0
9,0,17,9,0
2,3,17,9,0
6,4,17,9,0
1,7,17,9,0
5,8,17,9,0
4,0,19,9,0
1,2,19,9,0
3,5,19,9,0
9,6,19,9,0
7,8,19,9,0
7,4,20,9,0
3,9,20,9,0
0,1,24,9,0
4,3,24,9,0
9,5,24,9,0
6,7,24,9,0
8,3,26,9,0
2,6,26,9,0
1,7,26,9,0
8,0,27,9,0
5,1,27,9,0
2,9,27,9,0
3,0,1,10,0
1,4,1,10,0
6,5,1,10,0
7,9,1,10,0
9,1,3,10,0
4,2,3,10,0
3,7,3,10,0
6,8,3,10,0
7,0,4,10,0
9,3,4,10,0
2,5,4,10,0
1,6,4,10,0
4,8,4,10,0
6,1,8,10,0
0,2,8,10,0
5,7,8,10,0
8,9,8,10,0
5,0,10,10,0
7,1,10,10,0
3,2,10,10,0
9,4,10,10,0
8,6,10,10,0
0,3,11,10,0
1,5,11,10,0
4,6,11,10,0
2,8,11,10,0
1,2,15,10,0
3,4,15,10,0
8,5,15,10,0
0,7,15,10,0
6,9,15,10,0
5,3,17,10,0
2,4,17,10,0
2,0,18,10,0
9,1,18,10,0
3,6,18,10,0
4,7,18,10,0
3,1,22,10,0
5,2,22,10,0
8,4,22,10,0
7,6,22,10,0
0,9,22,10,0
9,2,24,10,0
8,3,24,10,0
1,5,24,10,0
0,6,24,10,0
1,0,25,10,0
5,4,25,10,0
2,7,25,10,0
9,8,25,10,0
7,2,29,10,0
6,5,29,10,0
0,8,29,10,0
6,2,31,10,0
7,8,31,10,0
1,3,1,11,0
9,4,1,11,0
2,6,1,11,0
8,7,1,11,0
7,3,12,11,0
0,4,12,11,0
1,8,12,11,0
5,9,12,11,0
1,4,14,11,0
7,5,14,11,0
0,6,14,11,0
3,8,14,11,0
5,0,15,11,0
2,1,15,11,0
6,3,15,11,0
8,7,15,11,0
4,9,15,11,0
9,0,19,11,0
5,2,19,11,0
8,4,19,11,0
1,6,19,11,0
3,7,19,11,0
6,1,21,11,0
2,3,21,11,0
7,4,21,11,0
9,5,21,11,0
0,8,21,11,0
8,1,22,11,0
0,2,22,11,0
5,6,22,11,0
4,9,22,11,0
6,0,26,11,0
7,2,26,11,0
4,3,26,11,0
5,8,26,11,0
1,9,26,11,0
8,3,28,11,0
4,5,28,11,0
0,7,28,11,0
2,9,28,11,0
3,0,29,11,0
7,1,29,11,0
9,4,29,11,0
0,1,3,12,0
8,2,3,12,0
6,4,3,12,0
3,5,3,12,0
7,9,3,12,0
8,0,5,12,0
4,2,5,12,0
9,6,5,12,0
5,7,5,12,0
6,5,6,12,0
4,8,6,12,0
1,2,10,12,0
6,3,10,12,0
0,4,10,12,0
5,9,10,12,0
7,0,12,12,0
5,1,12,12,0
9,3,12,12,0
2,4,12,12,0
8,6,12,12,0
2,5,13,12,0
8,9,13,12,0
5,6,16,12,0
4,1,17,12,0
3,2,17,12,0
6,7,17,12,0
5,8,17,12,0
0,9,17,12,0
3,1,28,12,0
8,2,28,12,0
4,5,28,12,0
0,7,28,12,0
6,9,28,12,0
2,0,3,1,1
5,3,3,1,1
7,6,3,1,1
1,8,3,1,1
1,0,7,1,1
8,5,7,1,1
4,6,7,1,1
2,7,7,1,1
3,9,7,1,1
5,1,9,1,1
9,2,9,1,1
6,3,9,1,1
4,7,9,1,1
2,3,10,1,1
0,4,10,1,1
1,6,10,1,1
9,8,10,1,1
3,0,14,1,1
2,1,14,1,1
9,5,14,1,1
4,6,14,1,1
7,8,14,1,1
8,0,16,1,1
6,2,16,1,1
3,4,16,1,1
5,7,16,1,1
1,9,16,1,1
4,1,17,1,1
9,3,17,1,1
0,5,17,1,1
6,8,17,1,1
4,0,21,1,1
6,1,21,1,1
3,5,21,1,1
9,7,21,1,1
2,8,21,1,1
0,2,23,1,1
7,3,23,1,1
5,6,23,1,1
7,4,24,1,1
0,8,24,1,1
8,1,28,1,1
4,5,28,1,1
3,6,28,1,1
2,7,28,1,1
0,9,28,1,1
6,0,30,1,1
4,2,30,1,1
1,3,30,1,1
7,9,30,1,1
2,1,31,1,1
0,5,31,1,1
9,6,31,1,1
3,7,31,1,1
4,8,31,1,1
7,0,11,2,1
5,2,11,2,1
4,3,11,2,1
1,8,11,2,1
6,9,11,2,1
4,0,13,2,1
7,1,13,2,1
3,8,13,2,1
2,9,13,2,1
0,3,14,2,1
1,4,14,2,1
8,5,14,2,1
2,6,14,2,1
9,7,14,2,1
1,0,18,2,1
8,2,18,2,1
6,4,18,2,1
7,5,18,2,1
3,9,18,2,1
2,0,20,2,1
3,4,20,2,1
1,5,20,2,1
7,6,20,2,1
9,8,20,2,1
4,1,21,2,1
9,2,21,2,1
5,3,21,2,1
8,7,21,2,1
0,1,25,2,1
3,2,25,2,1
8,4,25,2,1
6,7,25,2,1
5,9,25,2,1
6,2,27,2,1
7,3,27,2,1
5,4,27,2,1
1,9,27,2,1
9,0,28,2,1
3,1,28,2,1
7,5,28,2,1
6,8,28,2,1
0,6,4,3,1
1,7,4,3,1
3,8,4,3,1
4,9,4,3,1
5,0,6,3,1
2,4,6,3,1
8,9,6,3,1
9,1,7,3,1
0,3,7,3,1
2,5,7,3,1
8,6,7,3,1
4,7,7,3,1
