schedule_list
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
2,0,5,10,0
3,6,5,10,0
100,103,5,10,0
104,102,5,10,0
105,106,5,10,0
107,4,5,10,0
4,2,6,10,0
5,105,6,10,0
6,3,6,10,0
101,104,6,10,0
103,102,6,10,0
106,100,6,10,0
107,1,6,10,0
1,2,7,10,0
5,106,7,10,0
104,6,7,10,0
107,4,7,10,0
107,0,9,10,0
1,104,10,10,0
4,103,10,10,0
102,2,11,10,0
1,101,12,10,0
3,5,12,10,0
4,103,12,10,0
100,106,12,10,0
104,107,12,10,0
105,6,12,10,0
1,101,13,10,0
5,6,13,10,0
100,107,13,10,0
102,2,13,10,0
105,3,13,10,0
106,103,13,10,0
1,104,14,10,0
102,4,14,10,0
105,5,14,10,0
102,0,16,10,0
107,101,16,10,0
3,100,17,10,0
6,4,17,10,0
107,104,17,10,0
6,1,18,10,0
1,0,19,10,0
2,102,19,10,0
3,101,19,10,0
6,4,19,10,0
100,105,19,10,0
104,5,19,10,0
107,106,19,10,0
2,103,20,10,0
3,104,20,10,0
5,102,20,10,0
101,107,20,10,0
0,4,21,10,0
2,5,21,10,0
6,1,21,10,0
100,106,21,10,0
101,103,21,10,0
2,105,23,10,0
3,101,23,10,0
4,1,23,10,0
6,0,23,10,0
2,106,26,10,0
4,105,26,10,0
6,0,26,10,0
102,5,26,10,0
104,101,26,10,0
107,100,26,10,0
5,3,27,10,0
6,2,27,10,0
103,107,27,10,0
105,100,27,10,0
106,102,27,10,0
4,106,28,10,0
6,2,28,10,0
100,5,28,10,0
102,101,28,10,0
104,1,28,10,0
107,103,28,10,0
3,100,30,10,0
104,0,30,10,0
3,102,31,10,0
4,5,31,10,0
100,103,31,10,0
0,1,1,11,0
104,2,1,11,0
1,105,2,11,0
3,5,2,11,0
4,6,2,11,0
100,101,2,11,0
102,106,2,11,0
104,0,2,11,0
107,103,2,11,0
4,6,3,11,0
5,107,3,11,0
103,3,3,11,0
104,2,3,11,0
105,102,3,11,0
106,100,3,11,0
1,106,4,11,0
4,5,4,11,0
101,2,4,11,0
105,103,4,11,0
102,105,6,11,0
2,103,7,11,0
101,4,7,11,0
107,104,7,11,0
4,0,8,11,0
5,105,8,11,0
101,1,8,11,0
2,3,9,11,0
103,102,9,11,0
104,6,9,11,0
105,100,9,11,0
107,106,9,11,0
2,3,10,11,0
5,107,10,11,0
101,1,10,11,0
103,100,10,11,0
105,6,10,11,0
106,104,10,11,0
0,2,11,11,0
5,103,11,11,0
101,4,11,11,0
3,1,13,11,0
101,0,13,11,0
107,105,13,11,0
4,100,14,11,0
101,2,14,11,0
102,104,14,11,0
0,1,15,11,0
100,105,15,11,0
2,6,16,11,0
4,3,16,11,0
101,0,16,11,0
104,107,16,11,0
105,102,16,11,0
106,103,16,11,0
2,6,17,11,0
4,3,17,11,0
5,104,17,11,0
103,107,17,11,0
105,102,17,11,0
106,100,17,11,0
1,0,18,11,0
2,5,18,11,0
0,1,20,11,0
0,4,21,11,0
2,100,21,11,0
5,6,21,11,0
101,104,21,11,0
103,106,21,11,0
107,3,21,11,0
101,102,22,11,0
1,4,23,11,0
2,0,23,11,0
6,5,23,11,0
102,100,23,11,0
104,101,23,11,0
106,105,23,11,0
107,103,23,11,0
1,2,24,11,0
5,100,24,11,0
6,3,24,11,0
103,104,24,11,0
105,107,24,11,0
106,102,24,11,0
1,0,25,11,0
3,6,25,11,0
103,101,25,11,0
105,5,25,11,0
107,106,25,11,0
4,0,27,11,0
2,1,28,11,0
6,5,28,11,0
100,103,28,11,0
101,104,28,11,0
1,6,30,11,0
3,5,30,11,0
104,102,30,11,0
105,100,30,11,0
106,0,30,11,0
107,101,30,11,0
0,4,1,12,0
1,6,1,12,0
5,3,1,12,0
100,104,1,12,0
102,107,1,12,0
103,105,1,12,0
106,2,1,12,0
0,2,2,12,0
1,5,2,12,0
6,102,2,12,0
100,101,2,12,0
106,4,2,12,0
102,0,4,12,0
1,5,5,12,0
3,4,5,12,0
107,100,5,12,0
0,105,6,12,0
106,2,6,12,0
0,106,7,12,0
100,103,7,12,0
102,4,7,12,0
104,101,7,12,0
107,5,7,12,0
1,3,8,12,0
4,2,8,12,0
5,104,8,12,0
101,100,8,12,0
103,6,8,12,0
106,107,8,12,0
2,0,9,12,0
3,6,9,12,0
102,1,9,12,0
105,4,9,12,0
5,101,11,12,0
6,100,11,12,0
102,1,11,12,0
105,0,11,12,0
101,3,12,12,0
103,106,12,12,0
105,2,12,12,0
0,1,13,12,0
2,0,14,12,0
3,107,14,12,0
4,102,14,12,0
6,105,14,12,0
100,5,14,12,0
104,103,14,12,0
106,101,14,12,0
4,101,15,12,0
5,3,15,12,0
102,100,15,12,0
103,104,15,12,0
105,107,15,12,0
106,6,15,12,0
0,2,16,12,0
1,106,16,12,0
4,101,16,12,0
1,105,18,12,0
3,4,19,12,0
3,1,20,12,0
0,100,21,12,0
1,4,21,12,0
2,106,21,12,0
6,5,21,12,0
104,101,21,12,0
105,103,21,12,0
107,102,21,12,0
0,103,22,12,0
4,1,22,12,0
5,6,22,12,0
100,3,22,12,0
101,107,22,12,0
102,104,22,12,0
106,105,22,12,0
0,103,23,12,0
2,105,23,12,0
3,6,23,12,0
104,102,23,12,0
107,106,23,12,0
0,4,26,12,0
1,2,26,12,0
6,107,26,12,0
101,104,26,12,0
102,100,26,12,0
103,5,26,12,0
105,106,26,12,0
2,1,27,12,0
100,102,27,12,0
106,105,27,12,0
2,0,28,12,0
4,107,28,12,0
6,3,28,12,0
103,105,28,12,0
104,101,28,12,0
1,3,29,12,0
4,104,29,12,0
6,100,29,12,0
103,107,29,12,0
106,5,29,12,0
0,2,30,12,0
4,104,30,12,0
5,101,30,12,0
103,6,30,12,0
1,102,31,12,0
3,106,31,12,0
5,100,31,12,0
3,105,1,1,1
103,101,1,1,1
4,1,2,1,1
104,5,2,1,1
106,103,2,1,1
100,2,3,1,1
100,4,4,1,1
103,0,4,1,1
104,3,4,1,1
105,101,4,1,1
106,6,4,1,1
107,102,4,1,1
0,4,5,1,1
5,6,5,1,1
100,1,5,1,1
102,104,5,1,1
103,2,5,1,1
105,107,5,1,1
106,3,5,1,1
0,1,6,1,1
103,2,6,1,1
106,5,6,1,1
5,0,8,1,1
102,105,8,1,1
2,100,9,1,1
3,104,9,1,1
102,106,9,1,1
103,4,9,1,1
107,6,9,1,1
5,1,10,1,1
0,102,11,1,1
2,107,11,1,1
100,3,11,1,1
101,103,11,1,1
104,106,11,1,1
0,100,12,1,1
2,107,12,1,1
6,103,12,1,1
101,3,12,1,1
105,104,12,1,1
0,106,13,1,1
2,4,13,1,1
5,1,13,1,1
103,102,13,1,1
5,4,15,1,1
6,101,15,1,1
103,100,15,1,1
107,3,15,1,1
5,0,16,1,1
6,104,16,1,1
5,2,17,1,1
106,105,17,1,1
1,107,18,1,1
4,0,18,1,1
102,3,18,1,1
103,101,18,1,1
104,100,18,1,1
105,106,18,1,1
1,100,19,1,1
5,2,19,1,1
101,3,19,1,1
102,6,19,1,1
103,104,19,1,1
106,107,19,1,1
3,6,20,1,1
5,4,20,1,1
104,103,20,1,1
105,1,20,1,1
107,102,21,1,1
2,4,22,1,1
3,101,22,1,1
105,0,22,1,1
3,104,23,1,1
107,100,23,1,1
4,2,24,1,1
105,1,24,1,1
0,3,25,1,1
1,103,25,1,1
6,106,25,1,1
100,102,25,1,1
101,5,25,1,1
104,107,25,1,1
105,4,25,1,1
0,3,26,1,1
1,103,26,1,1
5,104,26,1,1
6,102,26,1,1
101,100,26,1,1
105,2,26,1,1
106,107,26,1,1
102,106,27,1,1
4,0,29,1,1
6,101,29,1,1
107,105,29,1,1
3,5,30,1,1
6,104,30,1,1
100,107,30,1,1
101,106,30,1,1
102,103,30,1,1
2,1,31,1,1
101,105,31,1,1
1,0,1,2,1
2,4,1,2,1
3,6,1,2,1
5,106,1,2,1
100,105,1,2,1
102,107,1,2,1
0,1,2,2,1
4,2,2,2,1
101,104,2,2,1
103,3,2,2,1
105,100,2,2,1
106,102,2,2,1
107,6,2,2,1
0,4,3,2,1
5,101,3,2,1
6,3,3,2,1
100,2,3,2,1
102,106,3,2,1
104,103,3,2,1
100,0,5,2,1
102,105,5,2,1
104,101,5,2,1
2,4,6,2,1
6,107,6,2,1
103,5,6,2,1
106,3,6,2,1
2,1,7,2,1
1,4,8,2,1
3,5,8,2,1
100,0,8,2,1
102,103,8,2,1
104,6,8,2,1
106,101,8,2,1
107,105,8,2,1
5,3,9,2,1
100,1,9,2,1
101,6,9,2,1
103,107,9,2,1
105,102,9,2,1
106,104,9,2,1
6,5,10,2,1
100,4,10,2,1
104,101,10,2,1
105,106,10,2,1
2,101,12,2,1
104,100,12,2,1
106,0,12,2,1
0,5,13,2,1
2,104,13,2,1
3,103,13,2,1
102,107,13,2,1
106,4,13,2,1
106,1,14,2,1
0,6,15,2,1
1,4,15,2,1
2,101,15,2,1
3,5,15,2,1
100,102,15,2,1
107,105,15,2,1
0,6,16,2,1
2,104,16,2,1
5,3,16,2,1
102,107,16,2,1
103,100,16,2,1
0,5,17,2,1
2,102,17,2,1
6,103,17,2,1
105,101,17,2,1
106,1,17,2,1
1,100,19,2,1
3,6,19,2,1
102,105,19,2,1
1,107,20,2,1
4,106,20,2,1
101,104,20,2,1
1,102,22,2,1
2,0,22,2,1
3,103,22,2,1
4,105,22,2,1
5,6,22,2,1
100,107,22,2,1
101,106,22,2,1
0,2,23,2,1
3,105,23,2,1
5,6,23,2,1
100,104,23,2,1
101,102,23,2,1
107,103,23,2,1
3,106,24,2,1
4,1,24,2,1
104,5,24,2,1
0,105,26,2,1
1,2,26,2,1
100,101,26,2,1
0,102,27,2,1
1,4,27,2,1
104,3,27,2,1
106,103,27,2,1
103,1,28,2,1
0,107,1,3,1
2,4,1,3,1
6,105,1,3,1
0,104,2,3,1
4,2,2,3,1
5,3,2,3,1
100,107,2,3,1
102,101,2,3,1
103,1,2,3,1
0,104,3,3,1
5,102,3,3,1
6,106,3,3,1
101,100,3,3,1
103,4,3,3,1
105,3,3,3,1
100,105,5,3,1
103,0,5,3,1
4,107,6,3,1
107,2,7,3,1
1,0,8,3,1
3,5,8,3,1
4,102,8,3,1
100,106,8,3,1
101,6,8,3,1
104,105,8,3,1
4,100,9,3,1
6,3,9,3,1
101,104,9,3,1
103,102,9,3,1
106,105,9,3,1
107,1,9,3,1
6,3,10,3,1
101,5,10,3,1
102,103,10,3,1
104,100,10,3,1
105,106,10,3,1
107,2,10,3,1
101,105,12,3,1
107,0,12,3,1
3,102,13,3,1
6,5,13,3,1
103,100,13,3,1
104,4,13,3,1
106,107,13,3,1
101,6,14,3,1
104,1,14,3,1
106,105,14,3,1
0,107,15,3,1
102,3,15,3,1
103,105,15,3,1
104,4,15,3,1
0,101,16,3,1
2,1,16,3,1
6,3,16,3,1
105,107,16,3,1
0,101,17,3,1
1,2,17,3,1
100,6,17,3,1
102,103,17,3,1
107,104,17,3,1
3,107,19,3,1
4,0,19,3,1
6,101,19,3,1
2,4,20,3,1
5,103,20,3,1
6,104,20,3,1
102,100,20,3,1
105,106,20,3,1
0,2,21,3,1
4,1,21,3,1
3,0,22,3,1
100,106,22,3,1
101,5,22,3,1
104,105,22,3,1
107,102,22,3,1
3,2,23,3,1
5,6,23,3,1
100,102,23,3,1
3,2,24,3,1
4,1,24,3,1
6,5,24,3,1
102,101,24,3,1
104,106,24,3,1
105,103,24,3,1
107,100,24,3,1
3,0,26,3,1
103,105,26,3,1
1,4,27,3,1
100,104,27,3,1
101,107,27,3,1
102,5,27,3,1
103,106,27,3,1
