schedule_list
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
106,202,4,10,0
105,104,6,10,0
3,6,6,10,0
201,202,6,10,0
205,204,6,10,0
203,100,6,10,0
306,200,6,10,0
305,304,6,10,0
205,202,7,10,0
0,5,7,10,0
101,204,7,10,0
1,100,7,10,0
3,4,7,10,0
106,103,7,10,0
2,6,7,10,0
305,300,7,10,0
306,302,7,10,0
303,304,7,10,0
301,200,7,10,0
101,102,7,10,0
301,302,7,10,0
203,202,7,10,0
302,301,12,10,0
0,102,13,10,0
4,6,13,10,0
104,5,13,10,0
201,103,13,10,0
204,106,13,10,0
205,200,13,10,0
203,101,13,10,0
303,300,13,10,0
202,105,13,10,0
305,306,13,10,0
100,201,14,10,0
200,304,14,10,0
6,3,14,10,0
101,203,14,10,0
1,0,14,10,0
106,102,14,10,0
104,5,14,10,0
204,103,14,10,0
2,4,14,10,0
300,303,14,10,0
305,306,14,10,0
302,301,14,10,0
202,105,14,10,0
205,103,15,10,0
1,6,15,10,0
2,3,15,10,0
300,304,15,10,0
306,301,15,10,0
105,101,15,10,0
100,305,18,10,0
306,300,18,10,0
100,106,20,10,0
3,1,20,10,0
4,6,20,10,0
104,105,20,10,0
102,0,20,10,0
201,205,20,10,0
203,305,20,10,0
5,2,20,10,0
200,301,20,10,0
303,202,20,10,0
304,204,20,10,0
306,300,20,10,0
205,203,21,10,0
200,301,21,10,0
201,305,21,10,0
0,3,21,10,0
103,102,21,10,0
6,1,21,10,0
4,2,21,10,0
5,101,21,10,0
106,100,21,10,0
104,105,21,10,0
304,306,21,10,0
302,204,21,10,0
102,5,22,10,0
205,305,22,10,0
3,101,22,10,0
302,306,22,10,0
200,203,24,10,0
300,202,24,10,0
201,205,25,10,0
304,302,26,10,0
306,305,26,10,0
202,106,26,10,0
100,103,27,10,0
6,3,27,10,0
4,102,27,10,0
104,0,27,10,0
204,203,27,10,0
5,1,27,10,0
200,205,27,10,0
302,304,27,10,0
300,105,27,10,0
202,106,27,10,0
301,201,27,10,0
1,5,28,10,0
200,105,28,10,0
103,100,28,10,0
205,106,28,10,0
6,2,28,10,0
3,4,28,10,0
104,0,28,10,0
204,101,28,10,0
300,302,28,10,0
306,201,28,10,0
303,304,28,10,0
301,305,28,10,0
2,101,29,10,0
203,204,29,10,0
105,103,29,10,0
100,201,1,11,0
0,3,1,11,0
104,102,1,11,0
301,300,1,11,0
200,202,3,11,0
0,4,3,11,0
101,102,3,11,0
105,100,3,11,0
3,104,3,11,0
201,204,3,11,0
2,1,3,11,0
5,203,3,11,0
303,302,3,11,0
304,300,3,11,0
301,205,3,11,0
100,4,4,11,0
200,202,4,11,0
201,301,4,11,0
0,104,4,11,0
103,204,4,11,0
101,1,4,11,0
105,106,4,11,0
3,102,4,11,0
5,6,4,11,0
2,203,4,11,0
304,302,4,11,0
306,205,4,11,0
305,300,4,11,0
102,0,5,11,0
1,5,5,11,0
4,101,5,11,0
103,105,5,11,0
305,302,5,11,0
106,104,5,11,0
202,200,7,11,0
0,106,8,11,0
2,306,8,11,0
202,200,8,11,0
205,304,9,11,0
303,100,9,11,0
302,301,9,11,0
200,303,10,11,0
201,304,10,11,0
6,306,10,11,0
1,2,10,11,0
105,102,10,11,0
4,104,10,11,0
204,300,10,11,0
203,101,10,11,0
5,3,10,11,0
302,301,10,11,0
202,103,10,11,0
305,100,10,11,0
205,201,11,11,0
303,305,11,11,0
6,4,11,11,0
200,100,11,11,0
0,306,11,11,0
101,105,11,11,0
1,104,11,11,0
3,106,11,11,0
5,2,11,11,0
204,304,11,11,0
202,103,11,11,0
102,6,12,11,0
0,1,12,11,0
2,104,12,11,0
3,5,12,11,0
4,106,12,11,0
203,300,12,11,0
200,303,14,11,0
201,304,14,11,0
302,300,14,11,0
102,106,15,11,0
105,204,15,11,0
101,100,15,11,0
2,205,15,11,0
5,103,15,11,0
303,301,15,11,0
100,204,17,11,0
200,305,17,11,0
6,102,17,11,0
105,106,17,11,0
4,3,17,11,0
104,101,17,11,0
2,1,17,11,0
203,202,17,11,0
5,205,17,11,0
304,303,17,11,0
302,201,17,11,0
301,306,17,11,0
104,101,18,11,0
2,205,18,11,0
100,105,18,11,0
103,102,18,11,0
6,4,18,11,0
3,1,18,11,0
204,202,18,11,0
203,5,18,11,0
300,200,18,11,0
304,301,18,11,0
305,303,18,11,0
306,0,18,11,0
302,201,18,11,0
1,6,19,11,0
3,2,19,11,0
4,103,19,11,0
300,305,19,11,0
301,0,19,11,0
104,2,21,11,0
201,202,21,11,0
303,302,21,11,0
306,301,21,11,0
0,6,22,11,0
103,1,22,11,0
204,302,22,11,0
203,303,22,11,0
5,3,22,11,0
106,100,22,11,0
104,2,22,11,0
304,300,22,11,0
101,103,23,11,0
200,300,24,11,0
6,5,24,11,0
1,3,24,11,0
105,100,24,11,0
4,0,24,11,0
106,104,24,11,0
102,101,24,11,0
204,205,24,11,0
203,302,24,11,0
202,303,24,11,0
305,304,24,11,0
301,306,24,11,0
205,204,25,11,0
100,1,25,11,0
201,203,25,11,0
