schedule_list,,,,
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
0,2,15,10,0
1,4,15,10,0
102,105,15,10,0
204,200,15,10,0
302,301,15,10,0
304,303,15,10,0
0,3,16,10,0
4,1,16,10,0
100,104,16,10,0
101,102,16,10,0
200,204,16,10,0
201,203,16,10,0
202,206,16,10,0
207,205,16,10,0
300,301,16,10,0
302,306,16,10,0
304,305,16,10,0
307,303,16,10,0
0,4,17,10,0
3,2,17,10,0
100,103,17,10,0
102,101,17,10,0
105,104,17,10,0
202,201,17,10,0
203,206,17,10,0
300,200,17,10,0
301,204,17,10,0
302,304,17,10,0
2,3,18,10,0
101,105,18,10,0
207,205,18,10,0
307,306,18,10,0
0,1,21,10,0
103,105,21,10,0
201,206,21,10,0
202,203,21,10,0
205,200,21,10,0
100,101,23,10,0
103,104,23,10,0
202,206,23,10,0
300,307,23,10,0
301,304,23,10,0
302,303,23,10,0
306,305,23,10,0
1,2,24,10,0
100,105,24,10,0
102,104,24,10,0
103,101,24,10,0
202,207,24,10,0
204,201,24,10,0
205,203,24,10,0
206,200,24,10,0
300,306,24,10,0
301,303,24,10,0
304,307,24,10,0
0,105,25,10,0
305,302,25,10,0
207,304,27,10,0
200,301,29,10,0
207,307,29,10,0
306,203,29,10,0
2,1,30,10,0
4,3,30,10,0
101,104,30,10,0
105,100,30,10,0
200,300,30,10,0
201,0,30,10,0
202,301,30,10,0
204,205,30,10,0
207,303,30,10,0
302,307,30,10,0
304,305,30,10,0
306,206,30,10,0
0,1,31,10,0
4,102,31,10,0
101,2,31,10,0
103,100,31,10,0
104,105,31,10,0
200,305,31,10,0
201,3,31,10,0
202,303,31,10,0
203,206,31,10,0
207,302,31,10,0
3,0,1,11,0
103,102,1,11,0
105,104,1,11,0
202,302,1,11,0
3,201,3,11,0
105,4,3,11,0
205,207,3,11,0
203,1,4,11,0
205,307,5,11,0
2,0,6,11,0
3,100,6,11,0
4,201,6,11,0
102,104,6,11,0
105,101,6,11,0
200,204,6,11,0
202,307,6,11,0
203,1,6,11,0
300,302,6,11,0
301,206,6,11,0
303,306,6,11,0
305,304,6,11,0
2,4,7,11,0
100,102,7,11,0
104,101,7,11,0
105,103,7,11,0
200,206,7,11,0
202,306,7,11,0
203,0,7,11,0
204,205,7,11,0
207,1,7,11,0
301,201,7,11,0
304,302,7,11,0
307,305,7,11,0
102,100,8,11,0
105,103,8,11,0
202,305,8,11,0
203,3,8,11,0
3,0,10,11,0
202,306,10,11,0
204,200,10,11,0
205,304,10,11,0
300,302,10,11,0
301,203,10,11,0
305,303,10,11,0
4,2,11,11,0
201,1,11,11,0
205,305,11,11,0
307,204,11,11,0
300,305,12,11,0
302,307,12,11,0
4,1,13,11,0
101,102,13,11,0
103,100,13,11,0
104,3,13,11,0
200,306,13,11,0
201,206,13,11,0
203,304,13,11,0
205,302,13,11,0
207,204,13,11,0
303,301,13,11,0
0,100,14,11,0
1,4,14,11,0
3,105,14,11,0
103,102,14,11,0
104,2,14,11,0
200,303,14,11,0
201,207,14,11,0
203,307,14,11,0
204,206,14,11,0
205,300,14,11,0
302,301,14,11,0
306,304,14,11,0
0,101,15,11,0
103,105,15,11,0
203,306,15,11,0
200,302,16,11,0
200,304,17,11,0
204,303,17,11,0
206,207,17,11,0
307,301,17,11,0
102,100,18,11,0
202,205,18,11,0
101,3,19,11,0
201,202,19,11,0
203,200,19,11,0
0,103,20,11,0
1,100,20,11,0
4,2,20,11,0
104,102,20,11,0
105,3,20,11,0
204,305,20,11,0
206,304,20,11,0
207,200,20,11,0
301,300,20,11,0
306,302,20,11,0
0,103,21,11,0
1,104,21,11,0
2,101,21,11,0
3,100,21,11,0
105,102,21,11,0
200,4,21,11,0
201,205,21,11,0
204,300,21,11,0
206,306,21,11,0
207,203,21,11,0
301,303,21,11,0
307,202,21,11,0
0,104,22,11,0
1,101,22,11,0
301,306,22,11,0
303,305,22,11,0
307,205,22,11,0
305,302,24,11,0
3,1,25,11,0
4,0,25,11,0
101,103,25,11,0
104,100,25,11,0
203,207,25,11,0
204,201,25,11,0
205,202,25,11,0
206,200,25,11,0
303,300,25,11,0
306,307,25,11,0
2,105,26,11,0
