schedule_list,,,,
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
4,0,19,10,0
103,1,19,10,0
3,2,19,10,0
102,101,19,10,0
100,104,19,10,0
104,2,20,10,0
0,3,20,10,0
102,4,20,10,0
100,101,20,10,0
1,103,20,10,0
3,0,21,10,0
4,1,21,10,0
101,100,21,10,0
103,102,21,10,0
0,103,23,10,0
2,104,24,10,0
1,3,26,10,0
101,4,26,10,0
100,102,26,10,0
2,103,26,10,0
0,104,26,10,0
102,0,27,10,0
1,2,27,10,0
101,3,27,10,0
103,4,27,10,0
104,100,27,10,0
2,0,28,10,0
3,1,28,10,0
102,100,28,10,0
4,103,28,10,0
101,104,28,10,0
3,103,30,10,0
4,101,31,10,0
1,102,31,10,0
104,0,2,11,0
101,2,2,11,0
102,3,2,11,0
1,4,2,11,0
100,103,2,11,0
102,1,3,11,0
0,2,3,11,0
4,3,3,11,0
103,100,3,11,0
104,101,3,11,0
1,0,4,11,0
3,4,4,11,0
2,100,4,11,0
101,102,4,11,0
2,0,9,11,0
1,3,9,11,0
101,104,9,11,0
100,1,10,11,0
2,3,10,11,0
0,4,10,11,0
103,101,10,11,0
104,102,10,11,0
4,0,11,11,0
2,1,11,11,0
3,100,11,11,0
101,103,11,11,0
102,104,11,11,0
2,101,14,11,0
4,104,14,11,0
101,0,16,11,0
103,2,16,11,0
104,4,16,11,0
1,100,16,11,0
3,102,16,11,0
0,1,17,11,0
4,2,17,11,0
3,101,17,11,0
100,102,17,11,0
103,104,17,11,0
1,0,18,11,0
104,3,18,11,0
2,4,18,11,0
102,100,18,11,0
4,1,21,11,0
3,104,21,11,0
100,2,22,11,0
103,3,22,11,0
104,101,22,11,0
4,102,22,11,0
103,0,23,11,0
101,1,23,11,0
102,2,24,11,0
100,3,24,11,0
0,4,24,11,0
1,101,24,11,0
104,103,24,11,0
104,0,25,11,0
1,3,25,11,0
100,4,25,11,0
2,102,25,11,0
3,1,28,11,0
104,100,28,11,0
0,101,28,11,0
4,103,28,11,0
102,2,30,11,0
101,4,30,11,0
0,100,30,11,0
3,103,30,11,0
1,104,30,11,0
104,1,1,12,0
103,2,1,12,0
4,3,1,12,0
100,101,1,12,0
0,102,1,12,0
103,1,2,12,0
0,3,2,12,0
102,4,2,12,0
101,100,2,12,0
2,104,2,12,0
4,100,5,12,0
102,101,5,12,0
1,103,5,12,0
0,104,5,12,0
2,103,6,12,0
3,0,7,12,0
100,1,7,12,0
101,102,7,12,0
4,104,7,12,0
0,2,8,12,0
102,3,8,12,0
1,4,8,12,0
103,101,8,12,0
100,104,8,12,0
100,0,9,12,0
104,1,9,12,0
2,3,9,12,0
103,4,9,12,0
1,100,12,12,0
3,100,12,12,0
0,103,12,12,0
102,103,12,12,0
101,104,12,12,0
101,0,14,12,0
3,2,14,12,0
4,102,14,12,0
100,103,14,12,0
1,104,14,12,0
1,2,15,12,0
100,3,15,12,0
104,4,15,12,0
0,101,15,12,0
103,102,15,12,0
2,0,16,12,0
1,3,16,12,0
103,100,16,12,0
4,101,16,12,0
102,104,16,12,0
4,103,19,12,0
3,104,19,12,0
4,0,21,12,0
101,1,21,12,0
3,102,21,12,0
2,103,21,12,0
100,104,21,12,0
4,2,22,12,0
3,101,22,12,0
102,104,22,12,0
103,0,23,12,0
104,1,23,12,0
2,4,23,12,0
102,100,23,12,0
100,101,25,12,0
101,103,27,12,0
3,0,28,12,0
4,1,28,12,0
100,102,28,12,0
2,104,28,12,0
0,1,29,12,0
104,2,29,12,0
103,3,29,12,0
100,4,29,12,0
102,101,29,12,0
1,0,30,12,0
3,4,30,12,0
101,100,30,12,0
2,102,30,12,0
103,104,30,12,0
103,101,31,12,0
3,1,2,1,1
4,100,2,1,1
2,101,2,1,1
103,102,2,1,1
102,0,4,1,1
101,2,4,1,1
100,2,5,1,1
102,3,5,1,1
0,4,5,1,1
1,101,5,1,1
104,103,5,1,1
100,0,6,1,1
2,1,6,1,1
104,3,6,1,1
103,4,6,1,1
101,102,6,1,1
3,103,8,1,1
1,100,9,1,1
102,103,10,1,1
103,0,11,1,1
102,1,11,1,1
3,2,11,1,1
4,100,11,1,1
101,104,11,1,1
101,1,12,1,1
4,2,12,1,1
0,3,12,1,1
100,102,12,1,1
103,104,12,1,1
101,0,13,1,1
2,3,13,1,1
104,100,13,1,1
1,103,14,1,1
2,0,16,1,1
101,103,17,1,1
100,1,18,1,1
0,2,18,1,1
3,4,18,1,1
104,102,18,1,1
1,2,19,1,1
0,3,19,1,1
102,4,19,1,1
103,100,19,1,1
104,101,19,1,1
103,1,20,1,1
4,3,20,1,1
104,100,20,1,1
0,101,20,1,1
2,102,20,1,1
100,101,23,1,1
4,104,23,1,1
100,2,25,1,1
101,4,25,1,1
1,102,25,1,1
0,104,25,1,1
102,1,26,1,1
103,2,26,1,1
104,4,26,1,1
0,100,26,1,1
3,101,26,1,1
2,1,27,1,1
3,100,27,1,1
0,102,27,1,1
100,0,30,1,1
104,101,30,1,1
102,0,1,2,1
3,1,1,2,1
104,2,1,2,1
100,4,1,2,1
0,1,2,2,1
101,2,2,2,1
104,3,2,2,1
103,4,2,2,1
102,100,2,2,1
101,0,3,2,1
103,3,3,2,1
2,100,3,2,1
104,102,3,2,1
4,3,6,2,1
1,101,6,2,1
0,103,7,2,1
2,4,8,2,1
3,102,8,2,1
1,104,8,2,1
103,1,9,2,1
102,3,9,2,1
0,4,9,2,1
104,100,9,2,1
2,101,9,2,1
2,1,10,2,1
0,100,10,2,1
4,102,10,2,1
3,104,10,2,1
100,103,11,2,1
4,0,13,2,1
102,104,13,2,1
3,0,15,2,1
100,2,15,2,1
1,4,15,2,1
101,102,15,2,1
104,103,15,2,1
0,2,16,2,1
101,3,16,2,1
1,102,16,2,1
1,3,17,2,1
2,4,17,2,1
103,100,20,2,1
102,101,20,2,1
4,1,22,2,1
3,2,22,2,1
101,100,22,2,1
103,102,22,2,1
0,1,23,2,1
102,2,23,2,1
100,3,23,2,1
104,4,23,2,1
103,101,23,2,1
103,3,24,2,1
1,4,24,2,1
2,100,24,2,1
104,101,24,2,1
0,102,24,2,1
2,0,27,2,1
101,3,27,2,1
4,103,27,2,1
100,0,29,2,1
1,2,29,2,1
3,4,29,2,1
4,2,1,3,1
0,3,1,3,1
1,101,1,3,1
102,103,1,3,1
100,104,1,3,1
1,0,2,3,1
2,4,2,3,1
3,100,2,3,1
104,102,2,3,1
101,103,2,3,1
4,1,7,3,1
2,3,7,3,1
0,102,7,3,1
101,1,8,3,1
104,2,8,3,1
4,3,8,3,1
103,102,8,3,1
104,0,9,3,1
103,2,9,3,1
4,100,9,3,1
3,101,9,3,1
102,103,11,3,1
101,4,12,3,1
3,104,12,3,1
100,103,13,3,1
0,100,14,3,1
3,102,14,3,1
1,2,15,3,1
101,100,15,3,1
104,102,15,3,1
0,103,15,3,1
0,2,16,3,1
4,101,16,3,1
102,104,16,3,1
104,103,18,3,1
1,4,19,3,1
2,100,19,3,1
102,101,19,3,1
3,103,19,3,1
103,0,21,3,1
3,1,21,3,1
101,2,21,3,1
102,100,21,3,1
4,104,21,3,1
100,1,22,3,1
102,2,22,3,1
104,3,22,3,1
0,4,22,3,1
101,103,22,3,1
3,0,23,3,1
4,101,23,3,1
1,102,23,3,1
100,103,23,3,1
2,104,23,3,1
104,103,25,3,1
2,101,26,3,1
102,103,26,3,1
1,104,26,3,1
0,1,28,3,1
101,3,28,3,1
4,102,28,3,1
2,103,28,3,1
100,104,28,3,1
1,0,29,3,1
2,3,29,3,1
102,4,29,3,1
100,101,29,3,1
103,104,29,3,1
104,0,30,3,1
2,1,30,3,1
100,4,30,3,1
101,102,30,3,1
102,1,2,4,1
103,100,2,4,1
0,104,2,4,1
1,103,3,4,1
4,0,4,4,1
3,2,4,4,1
100,102,4,4,1
101,104,4,4,1
102,0,5,4,1
104,1,5,4,1
4,2,5,4,1
100,3,5,4,1
103,101,5,4,1
3,4,6,4,1
1,100,6,4,1
0,101,6,4,1
2,102,6,4,1
103,104,6,4,1
