schedule_list
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
303,2,9,10,0
300,100,9,10,0
103,302,9,10,0
201,102,9,10,0
104,202,9,10,0
301,3,9,10,0
200,304,9,10,0
0,1,10,10,0
101,203,10,10,0
200,2,11,10,0
104,302,12,10,0
101,102,12,10,0
301,201,12,10,0
1,203,12,10,0
100,103,12,10,0
202,3,12,10,0
303,304,12,10,0
3,0,13,10,0
101,1,13,10,0
200,300,13,10,0
2,100,13,10,0
301,203,13,10,0
102,201,15,10,0
304,303,15,10,0
101,104,15,10,0
0,300,16,10,0
200,100,16,10,0
304,302,16,10,0
2,202,16,10,0
101,3,16,10,0
2,1,17,10,0
0,203,17,10,0
102,303,17,10,0
300,104,17,10,0
301,200,18,10,0
104,100,19,10,0
301,101,19,10,0
1,302,19,10,0
2,102,19,10,0
202,201,19,10,0
203,103,19,10,0
300,303,19,10,0
304,3,19,10,0
103,200,20,10,0
2,0,20,10,0
3,1,20,10,0
302,300,20,10,0
304,202,20,10,0
102,203,20,10,0
201,104,20,10,0
203,101,22,10,0
200,201,22,10,0
302,304,22,10,0
100,104,22,10,0
100,200,23,10,0
104,300,23,10,0
301,2,23,10,0
303,202,23,10,0
0,103,23,10,0
102,3,23,10,0
303,0,24,10,0
1,101,24,10,0
302,200,25,10,0
203,2,25,10,0
301,304,25,10,0
2,101,26,10,0
100,102,26,10,0
302,201,26,10,0
202,103,26,10,0
1,303,26,10,0
300,3,26,10,0
203,304,26,10,0
301,0,27,10,0
102,1,27,10,0
303,300,27,10,0
200,202,27,10,0
3,104,27,10,0
103,101,28,10,0
2,201,28,10,0
100,304,29,10,0
2,200,30,10,0
0,302,30,10,0
300,102,30,10,0
201,202,30,10,0
303,101,31,10,0
202,203,31,10,0
102,104,31,10,0
3,200,1,11,0
100,2,1,11,0
103,304,1,11,0
300,301,2,11,0
100,101,2,11,0
203,102,2,11,0
0,201,2,11,0
200,303,2,11,0
1,3,2,11,0
302,0,3,11,0
103,300,3,11,0
1,202,3,11,0
201,203,3,11,0
301,104,3,11,0
302,102,4,11,0
1,0,5,11,0
103,301,5,11,0
203,201,5,11,0
101,303,5,11,0
202,304,5,11,0
201,200,6,11,0
300,1,6,11,0
202,2,6,11,0
102,100,6,11,0
302,3,6,11,0
104,0,7,11,0
304,301,7,11,0
302,203,7,11,0
101,103,7,11,0
300,200,8,11,0
1,301,9,11,0
202,101,9,11,0
3,302,9,11,0
304,102,9,11,0
104,203,9,11,0
2,103,9,11,0
201,303,9,11,0
200,0,10,11,0
103,1,10,11,0
304,100,10,11,0
2,203,10,11,0
102,104,10,11,0
0,303,12,11,0
300,304,12,11,0
200,104,12,11,0
104,200,13,11,0
300,2,13,11,0
303,301,13,11,0
3,101,13,11,0
100,302,13,11,0
1,102,13,11,0
203,202,13,11,0
201,103,13,11,0
102,0,14,11,0
302,1,14,11,0
203,200,15,11,0
3,2,15,11,0
201,301,15,11,0
101,304,15,11,0
1,0,16,11,0
201,100,16,11,0
300,101,16,11,0
301,302,16,11,0
202,102,16,11,0
104,103,16,11,0
203,303,16,11,0
3,304,16,11,0
200,1,17,11,0
0,100,17,11,0
2,202,17,11,0
103,104,17,11,0
302,102,18,11,0
103,201,19,11,0
303,304,19,11,0
2,104,19,11,0
104,1,20,11,0
201,300,20,11,0
202,100,20,11,0
200,301,20,11,0
102,101,20,11,0
103,3,20,11,0
2,0,21,11,0
303,302,21,11,0
304,203,21,11,0
1,200,22,11,0
102,301,22,11,0
3,201,22,11,0
301,300,23,11,0
2,302,23,11,0
304,201,23,11,0
0,202,23,11,0
101,103,23,11,0
100,303,23,11,0
203,3,23,11,0
304,0,24,11,0
102,1,24,11,0
101,100,24,11,0
103,202,24,11,0
200,203,24,11,0
302,104,24,11,0
303,3,25,11,0
304,301,26,11,0
301,200,27,11,0
1,300,27,11,0
0,2,27,11,0
201,101,27,11,0
104,302,27,11,0
3,202,27,11,0
100,203,27,11,0
102,103,27,11,0
304,303,27,11,0
100,1,28,11,0
202,200,29,11,0
201,2,29,11,0
100,301,30,11,0
0,101,30,11,0
300,302,30,11,0
303,102,30,11,0
1,103,30,11,0
104,3,30,11,0
201,304,30,11,0
103,1,1,12,0
302,300,1,12,0
303,202,1,12,0
301,203,1,12,0
2,104,1,12,0
200,102,2,12,0
2,303,3,12,0
302,304,3,12,0
1,104,3,12,0
301,300,4,12,0
200,2,4,12,0
302,101,4,12,0
0,102,4,12,0
100,202,4,12,0
3,103,4,12,0
100,0,5,12,0
104,1,5,12,0
3,201,5,12,0
300,203,5,12,0
302,2,6,12,0
203,301,6,12,0
200,304,6,12,0
202,300,7,12,0
200,101,7,12,0
103,102,7,12,0
301,201,7,12,0
104,303,7,12,0
100,3,7,12,0
103,0,8,12,0
302,1,8,12,0
3,300,8,12,0
304,100,8,12,0
102,202,8,12,0
201,203,8,12,0
303,104,8,12,0
0,301,10,12,0
102,302,10,12,0
303,201,10,12,0
2,304,10,12,0
300,200,11,12,0
101,3,11,12,0
101,0,12,12,0
304,1,12,12,0
303,100,12,12,0
2,301,12,12,0
302,203,12,12,0
102,103,12,12,0
202,104,12,12,0
203,200,13,12,0
104,0,14,12,0
304,301,14,12,0
1,302,14,12,0
2,102,14,12,0
101,201,14,12,0
300,103,14,12,0
202,303,14,12,0
200,3,14,12,0
201,0,15,12,0
2,1,15,12,0
304,300,15,12,0
103,100,15,12,0
101,202,15,12,0
303,203,15,12,0
3,104,15,12,0
200,0,17,12,0
201,303,17,12,0
104,304,17,12,0
201,1,18,12,0
100,300,18,12,0
102,2,18,12,0
101,301,18,12,0
302,202,18,12,0
103,3,18,12,0
202,0,19,12,0
104,101,19,12,0
3,203,19,12,0
301,103,19,12,0
303,200,20,12,0
104,2,20,12,0
102,304,20,12,0
203,100,21,12,0
102,101,21,12,0
103,302,21,12,0
300,201,21,12,0
301,303,21,12,0
0,3,21,12,0
100,0,22,12,0
3,300,22,12,0
304,2,22,12,0
201,301,22,12,0
200,202,22,12,0
103,203,22,12,0
1,104,22,12,0
201,200,26,12,0
300,1,26,12,0
302,100,26,12,0
304,101,26,12,0
303,103,26,12,0
203,104,26,12,0
0,2,27,12,0
100,102,27,12,0
1,202,27,12,0
203,300,28,12,0
2,101,28,12,0
301,102,28,12,0
200,103,28,12,0
302,303,28,12,0
201,3,28,12,0
0,304,28,12,0
203,1,29,12,0
303,300,29,12,0
301,202,29,12,0
201,104,29,12,0
101,100,30,12,0
202,302,30,12,0
3,103,30,12,0
101,300,31,12,0
2,100,31,12,0
300,202,1,1,1
2,3,1,1,1
203,304,1,1,1
102,200,2,1,1
303,301,2,1,1
0,101,2,1,1
104,201,2,1,1
302,103,2,1,1
1,2,3,1,1
100,301,4,1,1
203,101,4,1,1
0,302,4,1,1
104,102,4,1,1
202,201,4,1,1
304,103,4,1,1
200,303,4,1,1
300,3,4,1,1
104,200,5,1,1
303,1,5,1,1
102,300,5,1,1
203,2,5,1,1
3,100,5,1,1
304,202,5,1,1
302,301,6,1,1
3,201,7,1,1
2,303,7,1,1
0,104,7,1,1
2,200,8,1,1
103,300,8,1,1
102,100,8,1,1
202,301,8,1,1
101,302,8,1,1
304,3,8,1,1
304,0,9,1,1
101,1,9,1,1
201,203,9,1,1
103,200,10,1,1
300,0,11,1,1
1,100,11,1,1
104,301,11,1,1
203,102,11,1,1
200,201,11,1,1
2,103,11,1,1
202,303,11,1,1
101,3,11,1,1
304,1,12,1,1
202,300,12,1,1
303,100,12,1,1
2,203,12,1,1
201,3,12,1,1
102,104,12,1,1
203,301,14,1,1
303,201,14,1,1
101,104,14,1,1
304,300,15,1,1
1,2,15,1,1
202,302,15,1,1
0,102,15,1,1
200,103,15,1,1
3,303,15,1,1
101,0,16,1,1
301,100,16,1,1
104,203,16,1,1
101,200,17,1,1
202,2,17,1,1
1,304,17,1,1
300,301,18,1,1
3,102,18,1,1
100,201,18,1,1
200,203,18,1,1
0,103,18,1,1
302,303,18,1,1
202,304,18,1,1
3,0,19,1,1
301,1,19,1,1
2,300,19,1,1
302,100,19,1,1
101,102,19,1,1
103,104,19,1,1
2,103,22,1,1
301,0,23,1,1
100,1,23,1,1
201,300,23,1,1
3,101,23,1,1
102,302,23,1,1
200,202,23,1,1
203,303,23,1,1
304,104,23,1,1
304,200,24,1,1
3,2,24,1,1
104,100,25,1,1
301,302,25,1,1
1,102,25,1,1
101,201,25,1,1
202,103,25,1,1
300,303,25,1,1
203,0,26,1,1
200,1,26,1,1
2,300,26,1,1
103,102,26,1,1
101,202,26,1,1
3,304,26,1,1
100,104,26,1,1
0,301,27,1,1
202,101,28,1,1
302,201,28,1,1
100,303,28,1,1
102,304,28,1,1
200,301,29,1,1
201,302,29,1,1
300,103,29,1,1
2,3,29,1,1
2,0,30,1,1
202,1,30,1,1
103,100,30,1,1
104,101,30,1,1
3,203,30,1,1
303,200,31,1,1
202,300,1,2,1
201,100,1,2,1
302,301,1,2,1
102,101,1,2,1
1,203,1,2,1
103,303,1,2,1
0,3,1,2,1
104,304,1,2,1
203,0,2,2,1
301,1,2,2,1
201,300,2,2,1
102,2,2,2,1
200,302,2,2,1
100,202,2,2,1
1,100,4,2,1
300,301,4,2,1
3,303,4,2,1
103,304,4,2,1
0,200,5,2,1
104,2,5,2,1
103,101,5,2,1
300,302,5,2,1
100,102,5,2,1
203,202,5,2,1
302,0,6,2,1
3,301,6,2,1
1,201,6,2,1
202,203,6,2,1
101,200,7,2,1
103,2,7,2,1
301,303,7,2,1
300,304,7,2,1
0,100,8,2,1
203,302,8,2,1
202,102,8,2,1
104,201,8,2,1
303,3,8,2,1
302,200,9,2,1
201,0,9,2,1
102,1,9,2,1
101,300,9,2,1
301,2,9,2,1
3,100,9,2,1
104,202,9,2,1
103,201,11,2,1
203,303,11,2,1
301,304,11,2,1
202,104,11,2,1
0,300,12,2,1
100,2,12,2,1
200,101,12,2,1
201,302,12,2,1
1,103,12,2,1
102,3,12,2,1
0,1,13,2,1
104,301,13,2,1
300,203,13,2,1
100,304,14,2,1
2,301,15,2,1
100,101,15,2,1
202,302,15,2,1
300,102,15,2,1
203,201,15,2,1
104,303,15,2,1
103,3,15,2,1
200,304,15,2,1
303,1,16,2,1
102,300,16,2,1
2,302,16,2,1
3,202,16,2,1
0,203,16,2,1
201,103,16,2,1
301,104,16,2,1
202,301,18,2,1
1,201,18,2,1
102,303,18,2,1
0,304,18,2,1
101,104,18,2,1
3,2,19,2,1
203,100,19,2,1
200,302,19,2,1
300,202,19,2,1
101,103,19,2,1
203,1,20,2,1
102,301,20,2,1
0,2,21,2,1
304,201,21,2,1
1,104,21,2,1
104,300,22,2,1
200,100,22,2,1
0,101,22,2,1
304,302,22,2,1
201,102,22,2,1
303,103,22,2,1
202,3,22,2,1
3,1,23,2,1
200,300,23,2,1
101,2,23,2,1
302,301,23,2,1
203,202,23,2,1
100,103,23,2,1
303,104,23,2,1
103,0,25,2,1
3,302,25,2,1
303,201,25,2,1
300,104,25,2,1
203,200,26,2,1
302,2,26,2,1
101,100,26,2,1
304,102,26,2,1
303,202,26,2,1
104,103,26,2,1
301,3,26,2,1
100,0,27,2,1
101,1,27,2,1
304,203,27,2,1
300,200,28,2,1
1,100,1,3,1
302,101,1,3,1
303,102,1,3,1
2,201,1,3,1
301,203,1,3,1
304,103,1,3,1
104,3,1,3,1
301,200,2,3,1
300,0,2,3,1
201,1,2,3,1
3,100,2,3,1
103,202,2,3,1
303,203,2,3,1
304,104,2,3,1
2,102,3,3,1
301,101,4,3,1
304,302,4,3,1
0,104,4,3,1
102,200,5,3,1
300,2,5,3,1
103,301,5,3,1
