schedule_list
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
302,300,6,10,0
304,301,6,10,0
3,2,6,10,0
101,100,6,10,0
103,104,6,10,0
202,203,6,10,0
201,305,6,10,0
200,204,7,10,0
105,205,7,10,0
2,0,8,10,0
5,1,8,10,0
301,300,8,10,0
201,302,8,10,0
203,202,8,10,0
3,4,8,10,0
101,104,8,10,0
305,303,8,10,0
100,103,9,10,0
102,105,9,10,0
101,0,10,10,0
205,300,10,10,0
1,2,10,10,0
305,302,10,10,0
204,202,10,10,0
104,3,10,10,0
102,100,10,10,0
4,5,10,10,0
201,303,10,10,0
200,203,10,10,0
301,304,10,10,0
103,105,10,10,0
3,1,11,10,0
204,200,11,10,0
205,301,11,10,0
4,0,12,10,0
105,100,12,10,0
2,102,12,10,0
305,304,12,10,0
303,302,13,10,0
300,202,13,10,0
1,104,13,10,0
103,5,13,10,0
204,203,13,10,0
4,2,14,10,0
100,102,14,10,0
301,305,14,10,0
301,200,15,10,0
5,201,15,10,0
300,302,15,10,0
101,103,15,10,0
3,104,15,10,0
0,303,15,10,0
202,203,15,10,0
204,205,15,10,0
204,1,16,10,0
304,305,16,10,0
4,105,16,10,0
301,201,17,10,0
104,2,17,10,0
0,302,17,10,0
202,3,17,10,0
103,100,17,10,0
102,101,17,10,0
203,5,17,10,0
300,303,17,10,0
200,205,17,10,0
1,105,17,10,0
304,200,18,10,0
101,102,18,10,0
305,103,18,10,0
202,205,18,10,0
203,3,19,10,0
302,300,20,10,0
305,201,20,10,0
2,100,20,10,0
103,101,20,10,0
304,104,20,10,0
301,204,20,10,0
4,205,20,10,0
200,1,21,10,0
303,3,21,10,0
105,102,21,10,0
5,203,21,10,0
0,300,22,10,0
100,200,22,10,0
5,202,22,10,0
2,4,22,10,0
304,103,22,10,0
201,104,22,10,0
205,204,22,10,0
303,1,23,10,0
0,301,23,10,0
3,102,23,10,0
302,305,23,10,0
101,105,23,10,0
302,202,24,10,0
104,100,24,10,0
2,101,24,10,0
102,4,24,10,0
3,103,24,10,0
201,203,24,10,0
5,204,24,10,0
