schedule_list
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
106,6,5,10,0
305,307,5,10,0
201,202,6,10,0
306,302,6,10,0
4,7,6,10,0
104,107,6,10,0
207,300,7,10,0
4,1,7,10,0
103,100,7,10,0
200,101,7,10,0
6,2,7,10,0
106,3,7,10,0
307,303,7,10,0
305,205,7,10,0
203,104,7,10,0
7,5,7,10,0
204,300,8,10,0
201,102,8,10,0
306,105,8,10,0
203,0,9,10,0
200,1,9,10,0
206,202,9,10,0
305,101,9,10,0
306,2,9,10,0
301,302,9,10,0
103,3,9,10,0
204,303,9,10,0
104,4,9,10,0
100,205,9,10,0
201,106,9,10,0
207,304,9,10,0
5,7,9,10,0
6,107,9,10,0
203,5,10,10,0
206,200,11,10,0
300,301,11,10,0
305,105,11,10,0
104,7,11,10,0
306,1,12,10,0
103,201,12,10,0
101,2,12,10,0
300,302,12,10,0
207,204,12,10,0
304,4,12,10,0
303,205,12,10,0
305,102,12,10,0
203,106,12,10,0
3,6,12,10,0
202,107,12,10,0
0,105,13,10,0
206,307,13,10,0
302,200,14,10,0
306,201,14,10,0
103,101,14,10,0
301,2,14,10,0
202,3,14,10,0
100,4,14,10,0
104,205,14,10,0
107,102,14,10,0
304,5,14,10,0
300,207,14,10,0
0,1,15,10,0
303,203,15,10,0
304,7,15,10,0
302,307,15,10,0
103,200,16,10,0
100,101,16,10,0
300,204,16,10,0
2,4,16,10,0
1,102,16,10,0
104,5,16,10,0
3,105,16,10,0
7,106,16,10,0
306,305,16,10,0
303,206,16,10,0
202,6,16,10,0
301,107,16,10,0
205,207,16,10,0
304,0,17,10,0
2,201,17,10,0
205,204,17,10,0
103,307,17,10,0
6,1,18,10,0
7,100,18,10,0
203,101,18,10,0
200,3,18,10,0
301,104,18,10,0
107,5,18,10,0
303,206,18,10,0
207,300,19,10,0
307,202,19,10,0
304,205,19,10,0
301,102,19,10,0
6,106,19,10,0
4,305,19,10,0
204,306,19,10,0
7,201,20,10,0
307,203,20,10,0
105,302,20,10,0
0,3,20,10,0
2,107,20,10,0
1,300,21,10,0
0,100,21,10,0
207,303,21,10,0
301,106,21,10,0
4,304,21,10,0
204,305,21,10,0
202,206,21,10,0
200,6,21,10,0
105,306,21,10,0
201,100,22,10,0
5,203,22,10,0
3,2,22,10,0
101,104,22,10,0
300,307,22,10,0
200,107,22,10,0
3,0,23,10,0
105,301,23,10,0
204,202,23,10,0
4,303,23,10,0
103,205,23,10,0
102,106,23,10,0
207,304,23,10,0
201,206,23,10,0
2,7,23,10,0
302,306,23,10,0
4,300,24,10,0
200,100,24,10,0
1,303,24,10,0
101,102,24,10,0
104,305,24,10,0
5,201,25,10,0
305,302,25,10,0
107,6,25,10,0
102,300,26,10,0
205,301,26,10,0
5,204,26,10,0
2,4,26,10,0
200,105,26,10,0
1,304,26,10,0
307,7,26,10,0
104,306,26,10,0
203,207,26,10,0
100,201,27,10,0
101,202,27,10,0
205,302,27,10,0
206,303,27,10,0
2,0,28,10,0
203,301,28,10,0
107,3,28,10,0
103,4,28,10,0
307,5,28,10,0
105,106,28,10,0
206,304,28,10,0
1,305,28,10,0
6,7,28,10,0
200,300,29,10,0
104,302,29,10,0
102,303,29,10,0
205,306,29,10,0
201,207,29,10,0
305,200,30,10,0
2,1,30,10,0
104,301,30,10,0
202,101,30,10,0
100,3,30,10,0
307,4,30,10,0
6,5,30,10,0
204,106,30,10,0
102,304,30,10,0
0,7,30,10,0
105,107,30,10,0
103,207,30,10,0
206,300,31,10,0
205,201,31,10,0
307,2,31,10,0
103,204,31,10,0
203,306,31,10,0
3,104,1,11,0
303,7,1,11,0
1,107,1,11,0
5,0,2,11,0
304,301,2,11,0
106,201,2,11,0
302,2,2,11,0
303,4,2,11,0
3,102,2,11,0
100,6,2,11,0
300,306,2,11,0
305,307,2,11,0
206,207,2,11,0
204,200,3,11,0
205,203,3,11,0
7,105,3,11,0
302,0,4,11,0
306,202,4,11,0
107,2,4,11,0
301,4,4,11,0
103,102,4,11,0
303,5,4,11,0
3,106,4,11,0
300,305,4,11,0
205,206,4,11,0
204,307,4,11,0
304,207,4,11,0
302,1,5,11,0
105,100,5,11,0
200,201,5,11,0
107,101,5,11,0
301,7,5,11,0
7,1,6,11,0
206,100,6,11,0
304,202,6,11,0
104,101,6,11,0
105,203,6,11,0
4,2,6,11,0
200,205,6,11,0
0,102,6,11,0
106,5,6,11,0
204,305,6,11,0
3,6,6,11,0
306,307,6,11,0
303,207,6,11,0
306,300,7,11,0
4,0,7,11,0
102,104,7,11,0
301,5,7,11,0
302,206,7,11,0
106,107,7,11,0
2,101,8,11,0
103,6,8,11,0
107,300,9,11,0
2,203,9,11,0
103,3,9,11,0
304,204,9,11,0
5,102,9,11,0
4,104,9,11,0
301,105,9,11,0
1,106,9,11,0
200,206,9,11,0
205,7,9,11,0
100,307,9,11,0
302,207,9,11,0
107,303,10,11,0
201,305,10,11,0
202,306,10,11,0
100,300,11,11,0
101,200,11,11,0
301,1,11,11,0
207,302,11,11,0
102,3,11,11,0
203,204,11,11,0
106,4,11,11,0
205,5,11,11,0
6,105,11,11,0
304,206,11,11,0
104,7,11,11,0
2,307,11,11,0
202,305,12,11,0
207,306,12,11,0
2,200,13,11,0
206,203,13,11,0
201,302,13,11,0
204,3,13,11,0
100,303,13,11,0
205,4,13,11,0
301,103,13,11,0
104,5,13,11,0
0,105,13,11,0
107,304,13,11,0
102,6,13,11,0
106,7,13,11,0
101,307,13,11,0
301,0,14,11,0
200,303,14,11,0
7,103,14,11,0
1,104,14,11,0
107,305,14,11,0
204,6,14,11,0
201,306,14,11,0
101,1,15,11,0
5,202,15,11,0
300,205,15,11,0
100,304,15,11,0
307,206,15,11,0
106,207,15,11,0
201,301,16,11,0
302,203,16,11,0
105,6,16,11,0
302,200,17,11,0
0,1,17,11,0
300,202,17,11,0
207,101,17,11,0
206,2,17,11,0
105,3,17,11,0
7,303,17,11,0
307,205,17,11,0
204,102,17,11,0
104,103,17,11,0
306,106,17,11,0
5,304,17,11,0
100,305,17,11,0
4,107,17,11,0
5,300,19,11,0
104,0,19,11,0
4,1,19,11,0
206,201,19,11,0
306,101,19,11,0
202,203,19,11,0
207,204,19,11,0
102,205,19,11,0
106,103,19,11,0
100,105,19,11,0
7,304,19,11,0
305,6,19,11,0
3,107,19,11,0
203,200,20,11,0
207,301,20,11,0
205,202,20,11,0
1,2,20,11,0
305,3,20,11,0
5,303,20,11,0
4,106,20,11,0
101,206,20,11,0
302,307,20,11,0
7,300,21,11,0
306,0,21,11,0
107,100,21,11,0
304,201,21,11,0
6,204,21,11,0
105,102,21,11,0
103,104,21,11,0
305,1,22,11,0
106,301,22,11,0
306,4,22,11,0
200,207,22,11,0
2,0,23,11,0
100,203,23,11,0
107,3,23,11,0
300,303,23,11,0
200,204,23,11,0
101,205,23,11,0
304,102,23,11,0
103,105,23,11,0
6,206,23,11,0
307,300,24,11,0
305,2,24,11,0
106,302,24,11,0
105,104,24,11,0
306,5,24,11,0
202,7,24,11,0
5,100,25,11,0
101,203,25,11,0
1,3,25,11,0
301,303,25,11,0
102,204,25,11,0
202,4,25,11,0
0,205,25,11,0
304,103,25,11,0
206,6,25,11,0
201,107,25,11,0
301,300,26,11,0
307,200,26,11,0
304,104,26,11,0
302,305,26,11,0
102,207,26,11,0
6,0,27,11,0
1,100,27,11,0
103,2,27,11,0
206,3,27,11,0
7,204,27,11,0
4,205,27,11,0
201,104,27,11,0
202,5,27,11,0
106,306,27,11,0
101,107,27,11,0
304,101,28,11,0
303,302,28,11,0
201,103,28,11,0
6,105,28,11,0
301,307,28,11,0
7,207,28,11,0
200,203,29,11,0
202,105,29,11,0
106,305,29,11,0
303,306,29,11,0
300,107,29,11,0
300,1,30,11,0
104,201,30,11,0
205,2,30,11,0
204,302,30,11,0
6,4,30,11,0
103,5,30,11,0
301,304,30,11,0
3,206,30,11,0
101,7,30,11,0
100,207,30,11,0
105,102,1,12,0
202,104,1,12,0
0,306,1,12,0
203,307,1,12,0
100,301,2,12,0
300,101,2,12,0
0,302,2,12,0
203,303,2,12,0
201,4,2,12,0
205,103,2,12,0
204,304,2,12,0
207,305,2,12,0
2,206,2,12,0
6,7,2,12,0
3,200,3,12,0
104,1,3,12,0
2,202,3,12,0
205,102,3,12,0
207,306,3,12,0
