schedule_list
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
105,100,19,9,0
3,0,20,9,0
7,103,20,9,0
102,1,20,9,0
104,101,20,9,0
105,106,20,9,0
0,3,21,9,0
7,107,21,9,0
100,6,21,9,0
102,2,21,9,0
104,105,21,9,0
2,5,22,9,0
102,4,22,9,0
4,1,23,9,0
7,6,23,9,0
100,107,23,9,0
101,104,23,9,0
102,0,23,9,0
106,103,23,9,0
0,7,27,9,0
5,4,27,9,0
6,1,27,9,0
103,101,27,9,0
107,106,27,9,0
6,3,28,9,0
7,0,28,9,0
103,105,28,9,0
106,2,28,9,0
107,102,28,9,0
1,4,29,9,0
2,100,29,9,0
106,5,29,9,0
2,102,30,9,0
5,1,30,9,0
6,0,30,9,0
100,104,30,9,0
105,103,30,9,0
107,101,30,9,0
0,6,2,10,0
2,7,4,10,0
4,103,4,10,0
5,0,4,10,0
100,1,4,10,0
104,106,4,10,0
105,101,4,10,0
2,6,5,10,0
4,107,5,10,0
7,3,5,10,0
101,105,5,10,0
104,102,5,10,0
102,5,6,10,0
106,100,6,10,0
0,1,7,10,0
2,107,7,10,0
4,6,7,10,0
100,101,7,10,0
102,103,7,10,0
106,104,7,10,0
5,104,9,10,0
7,1,9,10,0
101,1,11,10,0
102,106,11,10,0
103,4,11,10,0
105,7,11,10,0
7,6,12,10,0
103,2,12,10,0
104,107,12,10,0
105,3,12,10,0
106,102,12,10,0
101,4,13,10,0
103,5,13,10,0
105,0,13,10,0
107,100,13,10,0
6,2,14,10,0
101,102,14,10,0
105,1,14,10,0
107,104,14,10,0
6,7,15,10,0
2,3,16,10,0
103,0,17,10,0
104,100,17,10,0
102,101,18,10,0
103,7,18,10,0
105,106,18,10,0
107,1,18,10,0
1,0,19,10,0
103,3,19,10,0
104,102,19,10,0
106,105,19,10,0
107,2,19,10,0
100,5,20,10,0
107,4,20,10,0
1,6,21,10,0
2,103,21,10,0
100,7,21,10,0
102,104,21,10,0
106,101,21,10,0
100,0,22,10,0
104,107,23,10,0
1,5,24,10,0
6,0,24,10,0
3,7,25,10,0
4,106,25,10,0
101,103,25,10,0
104,1,25,10,0
0,2,26,10,0
4,3,26,10,0
100,105,26,10,0
101,6,26,10,0
103,107,26,10,0
106,102,26,10,0
7,5,27,10,0
105,100,27,10,0
106,4,27,10,0
2,3,28,10,0
5,103,28,10,0
6,0,28,10,0
101,107,28,10,0
105,104,28,10,0
103,6,30,10,0
4,1,1,11,0
100,106,1,11,0
104,7,1,11,0
4,2,2,11,0
5,6,2,11,0
7,3,2,11,0
101,102,2,11,0
104,0,2,11,0
107,105,2,11,0
0,1,3,11,0
2,106,3,11,0
3,4,3,11,0
107,100,3,11,0
0,6,4,11,0
5,7,4,11,0
100,3,4,11,0
105,103,4,11,0
106,101,4,11,0
107,104,4,11,0
2,5,6,11,0
3,0,6,11,0
103,107,6,11,0
0,4,8,11,0
1,101,8,11,0
6,7,8,11,0
103,106,8,11,0
1,105,9,11,0
5,2,9,11,0
6,3,9,11,0
100,102,9,11,0
103,104,9,11,0
106,107,9,11,0
1,100,10,11,0
4,5,10,11,0
104,106,10,11,0
2,104,11,11,0
4,6,11,11,0
7,0,11,11,0
105,101,11,11,0
107,103,11,11,0
6,0,13,11,0
107,106,13,11,0
102,100,14,11,0
2,7,15,11,0
3,1,15,11,0
5,4,15,11,0
102,101,15,11,0
106,103,15,11,0
1,3,16,11,0
7,2,16,11,0
100,105,16,11,0
101,107,16,11,0
103,102,16,11,0
106,6,16,11,0
0,4,17,11,0
104,100,17,11,0
105,5,17,11,0
3,6,18,11,0
5,0,18,11,0
7,1,18,11,0
100,2,18,11,0
101,103,18,11,0
105,104,18,11,0
106,107,18,11,0
3,107,20,11,0
0,5,21,11,0
0,7,22,11,0
2,1,22,11,0
6,101,22,11,0
100,4,22,11,0
103,106,22,11,0
4,2,23,11,0
5,3,23,11,0
6,105,23,11,0
103,104,23,11,0
107,102,23,11,0
2,4,24,11,0
7,5,24,11,0
101,100,24,11,0
3,0,25,11,0
6,102,25,11,0
104,103,25,11,0
107,101,25,11,0
1,104,27,11,0
4,7,29,11,0
5,1,29,11,0
6,103,29,11,0
100,101,29,11,0
104,106,29,11,0
0,3,30,11,0
1,2,30,11,0
6,107,30,11,0
101,105,30,11,0
3,100,1,12,0
7,4,1,12,0
105,102,1,12,0
2,0,2,12,0
3,102,2,12,0
4,1,2,12,0
5,6,2,12,0
105,101,2,12,0
106,104,2,12,0
107,103,2,12,0
5,7,3,12,0
105,107,4,12,0
101,100,5,12,0
1,106,6,12,0
6,7,6,12,0
103,101,6,12,0
0,2,7,12,0
1,102,7,12,0
6,3,7,12,0
103,105,7,12,0
106,107,7,12,0
3,5,8,12,0
102,100,8,12,0
105,4,8,12,0
2,1,9,12,0
4,0,9,12,0
5,107,9,12,0
7,6,9,12,0
100,101,9,12,0
105,104,9,12,0
106,103,9,12,0
2,5,12,12,0
3,1,13,12,0
100,106,13,12,0
101,7,13,12,0
102,103,13,12,0
104,107,13,12,0
4,3,14,12,0
5,2,14,12,0
101,0,14,12,0
104,6,14,12,0
106,105,14,12,0
107,102,14,12,0
0,5,15,12,0
1,4,15,12,0
7,106,15,12,0
107,100,15,12,0
2,6,16,12,0
4,1,16,12,0
7,104,16,12,0
100,103,16,12,0
101,3,16,12,0
102,105,16,12,0
2,0,17,12,0
107,104,17,12,0
6,5,19,12,0
0,7,20,12,0
2,4,20,12,0
5,1,20,12,0
102,106,20,12,0
103,101,20,12,0
4,2,21,12,0
6,104,21,12,0
7,0,21,12,0
100,102,21,12,0
103,105,21,12,0
1,5,22,12,0
6,100,22,12,0
1,4,27,12,0
3,7,27,12,0
2,105,28,12,0
7,3,28,12,0
103,107,28,12,0
0,5,29,12,0
3,4,29,12,0
1,7,30,12,0
2,101,30,12,0
100,105,30,12,0
102,104,30,12,0
107,103,30,12,0
3,2,1,1,1
5,4,1,1,1
101,102,1,1,1
105,100,1,1,1
107,6,2,1,1
4,101,3,1,1
103,1,3,1,1
104,106,3,1,1
107,7,3,1,1
4,105,4,1,1
5,3,4,1,1
6,2,4,1,1
100,102,4,1,1
103,104,4,1,1
107,0,4,1,1
4,100,5,1,1
6,106,5,1,1
7,1,5,1,1
101,5,5,1,1
102,105,5,1,1
1,0,6,1,1
4,102,6,1,1
101,2,6,1,1
106,104,6,1,1
107,3,6,1,1
4,1,8,1,1
102,105,8,1,1
6,5,9,1,1
101,100,9,1,1
0,103,10,1,1
6,4,10,1,1
7,101,10,1,1
102,106,10,1,1
0,107,11,1,1
5,2,11,1,1
7,105,11,1,1
104,3,11,1,1
106,102,11,1,1
3,5,12,1,1
7,100,12,1,1
105,2,12,1,1
106,1,12,1,1
0,6,13,1,1
7,102,13,1,1
101,104,13,1,1
107,103,13,1,1
2,3,15,1,1
5,106,15,1,1
101,105,15,1,1
102,107,15,1,1
4,5,16,1,1
103,100,16,1,1
1,7,17,1,1
6,0,17,1,1
103,106,17,1,1
107,101,17,1,1
6,3,18,1,1
101,102,18,1,1
104,2,18,1,1
107,105,18,1,1
1,4,19,1,1
3,106,19,1,1
7,5,19,1,1
105,100,19,1,1
2,1,20,1,1
3,104,20,1,1
4,0,20,1,1
5,6,20,1,1
100,101,20,1,1
105,102,20,1,1
106,103,20,1,1
102,104,22,1,1
103,107,22,1,1
1,5,23,1,1
0,101,24,1,1
3,7,24,1,1
5,1,24,1,1
100,106,24,1,1
102,107,24,1,1
0,105,25,1,1
4,2,25,1,1
7,3,25,1,1
104,102,25,1,1
0,100,26,1,1
2,4,26,1,1
6,1,26,1,1
104,101,26,1,1
107,5,26,1,1
6,2,27,1,1
104,103,27,1,1
3,1,31,1,1
4,7,31,1,1
5,101,31,1,1
100,103,31,1,1
105,106,31,1,1
0,3,1,2,1
1,2,1,2,1
5,102,1,2,1
7,6,1,2,1
100,107,1,2,1
106,105,1,2,1
0,4,2,2,1
104,100,2,2,1
0,1,3,2,1
3,2,3,2,1
4,104,3,2,1
5,105,3,2,1
101,103,3,2,1
102,6,3,2,1
106,107,3,2,1
102,7,4,2,1
1,0,5,2,1
101,107,5,2,1
103,104,5,2,1
5,100,6,2,1
2,4,7,2,1
6,7,7,2,1
104,101,7,2,1
0,2,8,2,1
102,3,8,2,1
104,105,8,2,1
3,105,9,2,1
6,4,9,2,1
101,106,9,2,1
102,100,9,2,1
3,101,10,2,1
7,2,10,2,1
100,104,10,2,1
107,103,10,2,1
0,3,12,2,1
104,103,12,2,1
1,6,13,2,1
4,5,13,2,1
101,100,13,2,1
3,7,14,2,1
5,4,14,2,1
102,101,14,2,1
104,106,14,2,1
105,107,14,2,1
1,2,15,2,1
103,102,15,2,1
105,6,15,2,1
106,3,15,2,1
2,5,16,2,1
103,100,16,2,1
104,4,16,2,1
106,7,16,2,1
3,6,17,2,1
100,102,17,2,1
105,103,17,2,1
106,0,17,2,1
107,104,17,2,1
3,0,18,2,1
101,104,19,2,1
6,5,20,2,1
106,100,20,2,1
2,1,21,2,1
5,7,21,2,1
6,4,21,2,1
105,101,21,2,1
107,106,21,2,1
0,102,22,2,1
1,3,22,2,1
7,2,22,2,1
100,104,22,2,1
101,105,22,2,1
103,107,22,2,1
0,106,23,2,1
6,1,23,2,1
7,4,23,2,1
102,100,23,2,1
104,5,23,2,1
0,104,24,2,1
3,103,24,2,1
5,2,24,2,1
102,105,24,2,1
1,7,25,2,1
2,0,26,2,1
3,6,26,2,1
105,102,26,2,1
106,100,27,2,1
1,103,28,2,1
4,7,28,2,1
101,106,28,2,1
0,6,1,3,1
1,107,1,3,1
4,3,1,3,1
5,2,1,3,1
100,102,1,3,1
104,105,1,3,1
3,5,2,3,1
7,4,2,3,1
105,102,2,3,1
1,6,3,3,1
3,2,3,3,1
7,0,3,3,1
100,107,3,3,1
101,105,3,3,1
102,103,3,3,1
106,104,3,3,1
3,6,6,3,1
4,5,6,3,1
103,100,6,3,1
0,7,7,3,1
1,4,7,3,1
103,106,7,3,1
105,101,7,3,1
1,3,8,3,1
100,105,8,3,1
103,102,8,3,1
104,107,8,3,1
1,5,9,3,1
3,4,9,3,1
100,103,9,3,1
107,106,9,3,1
2,6,10,3,1
5,3,10,3,1
102,101,10,3,1
106,104,10,3,1
107,105,10,3,1
2,7,11,3,1
5,0,11,3,1
4,6,12,3,1
104,103,12,3,1
105,107,12,3,1
2,5,13,3,1
4,0,13,3,1
101,106,13,3,1
102,100,13,3,1
3,7,14,3,1
106,101,14,3,1
0,6,15,3,1
1,2,15,3,1
7,3,15,3,1
102,107,15,3,1
