schedule_list
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
5,102,13,9,0
0,105,14,9,0
4,3,14,9,0
100,103,14,9,0
101,2,14,9,0
102,5,14,9,0
104,1,14,9,0
1,2,16,9,0
3,4,16,9,0
101,5,16,9,0
102,104,16,9,0
103,100,16,9,0
105,0,16,9,0
105,102,17,9,0
1,4,18,9,0
1,105,21,9,0
4,100,21,9,0
5,2,21,9,0
101,103,21,9,0
102,0,21,9,0
104,3,21,9,0
1,101,23,9,0
2,100,23,9,0
3,105,23,9,0
5,0,23,9,0
103,104,23,9,0
1,103,24,9,0
2,102,24,9,0
0,4,25,9,0
100,105,25,9,0
104,101,25,9,0
0,100,28,9,0
101,4,28,9,0
102,3,28,9,0
103,5,28,9,0
104,2,28,9,0
105,1,28,9,0
0,103,30,9,0
2,100,30,9,0
3,1,30,9,0
4,5,30,9,0
102,101,30,9,0
105,104,30,9,0
103,0,1,10,0
104,102,1,10,0
3,101,2,10,0
100,4,2,10,0
2,5,3,10,0
0,2,5,10,0
5,1,5,10,0
100,102,5,10,0
103,105,5,10,0
104,3,5,10,0
0,101,7,10,0
2,103,7,10,0
3,5,7,10,0
4,104,7,10,0
100,1,7,10,0
1,3,9,10,0
103,104,9,10,0
105,4,9,10,0
2,0,10,10,0
0,5,12,10,0
1,103,12,10,0
3,100,12,10,0
4,105,12,10,0
101,102,12,10,0
104,2,12,10,0
1,104,14,10,0
2,101,14,10,0
3,102,14,10,0
5,105,14,10,0
103,100,14,10,0
100,0,15,10,0
104,4,16,10,0
105,101,16,10,0
0,5,19,10,0
4,2,19,10,0
100,105,19,10,0
101,3,19,10,0
102,1,19,10,0
104,103,19,10,0
0,104,21,10,0
3,2,21,10,0
4,100,21,10,0
101,1,21,10,0
102,105,21,10,0
103,5,21,10,0
101,0,22,10,0
105,102,22,10,0
3,104,23,10,0
103,4,23,10,0
2,1,24,10,0
0,102,26,10,0
1,4,26,10,0
2,3,26,10,0
5,100,26,10,0
101,105,26,10,0
104,103,26,10,0
1,0,28,10,0
2,104,28,10,0
3,103,28,10,0
4,5,28,10,0
102,101,28,10,0
105,100,28,10,0
103,102,29,10,0
1,3,30,10,0
2,4,30,10,0
5,105,30,10,0
100,101,30,10,0
4,0,2,11,0
101,100,2,11,0
102,2,2,11,0
103,1,2,11,0
104,5,2,11,0
105,3,2,11,0
0,103,4,11,0
3,2,4,11,0
5,104,4,11,0
101,4,4,11,0
102,100,4,11,0
105,1,4,11,0
100,0,5,11,0
104,102,5,11,0
2,3,6,11,0
5,1,6,11,0
103,101,6,11,0
105,4,6,11,0
0,3,9,11,0
1,2,9,11,0
4,102,9,11,0
100,5,9,11,0
101,104,9,11,0
103,105,9,11,0
1,101,11,11,0
2,5,11,11,0
3,0,11,11,0
100,104,11,11,0
105,103,11,11,0
1,102,12,11,0
5,3,13,11,0
102,4,13,11,0
105,104,13,11,0
2,0,14,11,0
0,3,16,11,0
4,1,16,11,0
5,2,16,11,0
101,105,16,11,0
102,103,16,11,0
104,100,16,11,0
2,5,18,11,0
3,105,18,11,0
4,0,18,11,0
100,1,18,11,0
101,104,18,11,0
103,102,18,11,0
5,4,20,11,0
103,3,20,11,0
104,101,20,11,0
105,100,21,11,0
2,1,23,11,0
4,103,23,11,0
100,3,23,11,0
101,5,23,11,0
102,0,23,11,0
104,105,23,11,0
0,1,25,11,0
3,5,25,11,0
4,104,25,11,0
100,2,25,11,0
101,103,25,11,0
102,105,25,11,0
2,102,26,11,0
5,0,26,11,0
3,4,27,11,0
103,101,27,11,0
1,3,30,11,0
5,4,30,11,0
101,102,30,11,0
103,2,30,11,0
104,100,30,11,0
105,0,30,11,0
0,101,2,12,0
2,105,2,12,0
3,103,2,12,0
4,1,2,12,0
5,102,2,12,0
100,104,2,12,0
5,101,4,12,0
103,4,4,12,0
1,100,5,12,0
1,5,7,12,0
100,3,7,12,0
101,2,7,12,0
102,104,7,12,0
105,103,7,12,0
0,104,9,12,0
3,1,9,12,0
4,2,9,12,0
5,103,9,12,0
102,100,9,12,0
105,101,9,12,0
1,0,10,12,0
100,102,10,12,0
2,4,11,12,0
5,3,11,12,0
104,105,11,12,0
4,3,14,12,0
101,100,14,12,0
102,1,14,12,0
103,2,14,12,0
104,0,14,12,0
105,5,14,12,0
0,4,16,12,0
1,104,16,12,0
3,101,16,12,0
5,100,16,12,0
102,103,16,12,0
105,2,16,12,0
3,0,17,12,0
104,102,17,12,0
0,1,28,12,0
2,105,28,12,0
4,101,28,12,0
100,103,28,12,0
102,3,28,12,0
104,5,28,12,0
0,2,30,12,0
1,5,30,12,0
100,101,30,12,0
103,104,30,12,0
0,4,2,1,1
3,100,2,1,1
5,1,2,1,1
103,102,2,1,1
0,101,4,1,1
4,105,4,1,1
5,2,4,1,1
100,103,4,1,1
102,1,4,1,1
104,3,4,1,1
0,103,6,1,1
2,100,6,1,1
3,104,6,1,1
101,4,6,1,1
105,1,6,1,1
100,0,7,1,1
1,2,8,1,1
5,101,8,1,1
102,4,8,1,1
104,105,8,1,1
1,101,11,1,1
1,105,11,1,1
4,2,11,1,1
100,5,11,1,1
103,3,11,1,1
104,0,11,1,1
101,102,12,1,1
0,2,13,1,1
3,5,13,1,1
4,103,13,1,1
102,100,13,1,1
1,104,14,1,1
2,0,14,1,1
105,102,14,1,1
5,4,15,1,1
104,101,15,1,1
105,0,16,1,1
4,5,18,1,1
101,3,18,1,1
102,2,18,1,1
103,105,18,1,1
104,100,18,1,1
3,2,20,1,1
4,0,20,1,1
5,103,20,1,1
104,1,20,1,1
105,100,20,1,1
102,101,21,1,1
0,3,22,1,1
1,4,22,1,1
2,101,22,1,1
5,105,22,1,1
103,100,22,1,1
1,5,23,1,1
3,0,23,1,1
4,3,25,1,1
5,1,25,1,1
100,103,25,1,1
101,102,25,1,1
105,104,25,1,1
105,2,26,1,1
3,4,27,1,1
5,104,27,1,1
101,100,27,1,1
102,0,27,1,1
2,0,30,1,1
4,102,30,1,1
2,3,1,2,1
4,1,1,2,1
100,104,1,2,1
101,105,1,2,1
102,103,1,2,1
0,5,2,2,1
0,105,3,2,1
2,104,3,2,1
4,102,3,2,1
100,1,3,2,1
103,5,3,2,1
105,103,4,2,1
2,4,5,2,1
100,101,5,2,1
102,3,5,2,1
0,4,8,2,1
2,105,8,2,1
5,3,8,2,1
100,102,8,2,1
101,104,8,2,1
103,1,8,2,1
2,1,10,2,1
3,101,10,2,1
103,104,10,2,1
105,4,10,2,1
1,0,11,2,1
104,102,11,2,1
0,100,12,2,1
3,105,12,2,1
5,4,12,2,1
103,101,12,2,1
0,102,15,2,1
2,103,15,2,1
101,1,15,2,1
104,5,15,2,1
105,3,15,2,1
1,103,17,2,1
3,2,17,2,1
4,5,17,2,1
100,105,17,2,1
101,0,17,2,1
102,104,17,2,1
103,102,18,2,1
1,4,19,2,1
2,3,19,2,1
100,104,19,2,1
105,101,19,2,1
1,2,22,2,1
4,3,22,2,1
5,0,22,2,1
101,103,22,2,1
102,105,22,2,1
104,100,22,2,1
3,0,23,2,1
4,1,24,2,1
5,2,24,2,1
102,101,24,2,1
103,100,24,2,1
105,104,24,2,1
3,102,25,2,1
100,101,26,2,1
103,105,26,2,1
104,4,26,2,1
105,5,27,2,1
0,5,1,3,1
3,1,1,3,1
101,100,1,3,1
104,103,1,3,1
2,102,2,3,1
0,1,3,3,1
3,4,3,3,1
100,2,3,3,1
101,5,3,3,1
102,103,3,3,1
104,105,3,3,1
5,0,4,3,1
105,102,4,3,1
2,4,5,3,1
1,100,6,3,1
100,3,6,3,1
103,101,6,3,1
0,3,8,3,1
1,5,8,3,1
4,2,8,3,1
100,105,8,3,1
101,103,8,3,1
102,104,8,3,1
0,104,10,3,1
2,1,10,3,1
3,103,10,3,1
4,101,10,3,1
102,5,10,3,1
105,100,10,3,1
1,0,11,3,1
100,102,11,3,1
5,3,12,3,1
103,4,12,3,1
104,2,12,3,1
105,101,12,3,1
0,2,15,3,1
1,3,15,3,1
4,100,15,3,1
5,102,15,3,1
101,105,15,3,1
104,103,15,3,1
3,5,16,3,1
0,1,17,3,1
4,104,17,3,1
101,2,17,3,1
102,100,17,3,1
105,103,17,3,1
1,102,18,3,1
103,0,18,3,1
100,4,19,3,1
104,101,19,3,1
2,5,20,3,1
3,1,22,3,1
4,0,22,3,1
5,100,22,3,1
101,104,22,3,1
102,105,22,3,1
103,2,22,3,1
