schedule_list
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
2,1,28,9,0
3,7,28,9,0
4,6,28,9,0
5,0,28,9,0
101,100,28,9,0
103,104,28,9,0
1,2,29,9,0
3,5,29,9,0
100,102,29,9,0
101,105,29,9,0
104,103,29,9,0
2,7,30,9,0
6,4,30,9,0
102,100,30,9,0
105,104,30,9,0
0,6,2,10,0
7,2,2,10,0
105,1,2,10,0
0,4,3,10,0
104,102,3,10,0
105,7,3,10,0
1,0,5,10,0
4,5,5,10,0
105,6,5,10,0
7,3,6,10,0
100,103,6,10,0
102,101,6,10,0
1,0,7,10,0
102,104,7,10,0
105,4,7,10,0
2,7,8,10,0
3,5,8,10,0
4,6,8,10,0
103,100,8,10,0
3,6,9,10,0
105,2,9,10,0
3,4,10,10,0
7,1,10,10,0
101,103,10,10,0
5,0,12,10,0
6,1,12,10,0
102,7,12,10,0
104,100,12,10,0
0,3,13,10,0
6,7,13,10,0
100,103,13,10,0
102,2,13,10,0
105,101,13,10,0
0,5,14,10,0
4,3,14,10,0
100,104,14,10,0
102,1,14,10,0
103,105,14,10,0
5,2,16,10,0
6,3,16,10,0
4,7,17,10,0
5,1,17,10,0
2,0,19,10,0
3,7,19,10,0
6,5,19,10,0
101,100,19,10,0
103,102,19,10,0
104,105,19,10,0
1,103,20,10,0
2,3,20,10,0
4,0,20,10,0
100,101,20,10,0
102,104,20,10,0
1,104,21,10,0
4,5,21,10,0
6,2,21,10,0
100,105,21,10,0
0,100,23,10,0
1,102,23,10,0
3,2,23,10,0
0,105,24,10,0
1,101,24,10,0
6,4,24,10,0
7,5,24,10,0
102,103,24,10,0
0,101,26,10,0
1,105,26,10,0
2,4,26,10,0
5,6,26,10,0
104,102,26,10,0
1,100,27,10,0
2,6,27,10,0
3,7,27,10,0
101,103,27,10,0
104,105,27,10,0
0,102,28,10,0
7,4,28,10,0
103,100,28,10,0
0,104,30,10,0
2,7,30,10,0
4,3,30,10,0
0,103,31,10,0
4,2,31,10,0
100,105,31,10,0
1,6,2,11,0
2,5,2,11,0
100,102,2,11,0
101,104,2,11,0
1,4,3,11,0
2,0,3,11,0
7,3,3,11,0
100,101,3,11,0
102,104,3,11,0
105,103,3,11,0
3,0,4,11,0
4,6,4,11,0
105,103,4,11,0
102,100,5,11,0
1,3,6,11,0
7,6,6,11,0
104,2,6,11,0
105,102,6,11,0
1,5,7,11,0
3,4,7,11,0
103,101,7,11,0
104,7,7,11,0
6,1,9,11,0
