schedule_list,,,,
Road Team ID,Home Team ID,Day of Month,Month,Year Offset
5,2,12,10,0
103,101,12,10,0
100,3,12,10,0
102,104,12,10,0
1,105,12,10,0
4,0,13,10,0
102,1,13,10,0
102,0,16,10,0
2,1,16,10,0
101,4,16,10,0
103,104,16,10,0
100,105,16,10,0
3,5,16,10,0
101,2,17,10,0
100,102,18,10,0
102,100,19,10,0
4,3,19,10,0
0,104,19,10,0
101,105,19,10,0
1,5,19,10,0
104,0,20,10,0
101,1,20,10,0
105,2,20,10,0
5,4,20,10,0
3,103,20,10,0
104,102,22,10,0
104,100,23,10,0
0,101,23,10,0
105,3,23,10,0
1,4,23,10,0
103,5,23,10,0
2,103,24,10,0
0,102,25,10,0
4,2,26,10,0
0,100,26,10,0
104,101,26,10,0
1,3,26,10,0
105,5,26,10,0
3,4,27,10,0
105,103,27,10,0
2,100,30,10,0
3,101,30,10,0
1,102,30,10,0
4,104,30,10,0
0,5,30,10,0
4,103,31,10,0
3,105,31,10,0
2,102,1,11,0
1,100,2,11,0
0,3,2,11,0
101,104,2,11,0
103,105,2,11,0
4,5,2,11,0
5,0,3,11,0
104,2,3,11,0
105,4,3,11,0
101,103,3,11,0
5,102,5,11,0
105,0,6,11,0
4,1,6,11,0
5,100,6,11,0
101,3,6,11,0
2,104,6,11,0
105,2,7,11,0
3,103,7,11,0
4,102,8,11,0
0,2,9,11,0
4,100,9,11,0
105,101,9,11,0
5,3,9,11,0
1,104,9,11,0
5,1,10,11,0
102,103,10,11,0
102,0,11,11,0
3,100,11,11,0
103,101,13,11,0
2,4,13,11,0
3,102,13,11,0
104,5,13,11,0
2,0,14,11,0
104,105,14,11,0
4,0,16,11,0
102,1,16,11,0
2,101,16,11,0
100,104,16,11,0
3,105,16,11,0
103,5,16,11,0
100,0,17,11,0
3,1,17,11,0
105,4,17,11,0
4,1,20,11,0
102,101,20,11,0
2,3,20,11,0
105,104,20,11,0
100,5,20,11,0
100,103,21,11,0
101,105,21,11,0
0,1,22,11,0
100,101,23,11,0
102,3,23,11,0
103,104,23,11,0
4,105,23,11,0
2,5,23,11,0
3,0,24,11,0
104,1,24,11,0
102,4,24,11,0
5,103,24,11,0
100,1,27,11,0
104,101,27,11,0
0,4,27,11,0
2,103,27,11,0
102,105,27,11,0
3,5,27,11,0
103,0,28,11,0
100,2,28,11,0
1,2,30,11,0
0,3,30,11,0
103,4,30,11,0
102,104,30,11,0
100,105,30,11,0
101,5,30,11,0
5,0,1,12,0
105,1,1,12,0
102,2,1,12,0
101,4,1,12,0
104,103,1,12,0
100,102,3,12,0
103,100,4,12,0
5,101,4,12,0
1,4,4,12,0
2,104,4,12,0
102,105,4,12,0
3,1,5,12,0
0,2,5,12,0
103,102,6,12,0
1,0,7,12,0
102,100,7,12,0
101,3,7,12,0
2,105,7,12,0
104,5,7,12,0
101,0,8,12,0
2,1,8,12,0
3,4,8,12,0
105,103,8,12,0
5,104,8,12,0
104,100,11,12,0
1,101,11,12,0
5,3,11,12,0
0,4,11,12,0
105,102,11,12,0
4,0,12,12,0
101,2,12,12,0
5,103,12,12,0
104,102,13,12,0
105,100,14,12,0
4,101,14,12,0
1,3,14,12,0
0,103,14,12,0
2,5,14,12,0
104,0,15,12,0
103,1,15,12,0
3,2,15,12,0
5,4,15,12,0
101,100,16,12,0
2,105,17,12,0
1,100,18,12,0
103,4,18,12,0
101,102,18,12,0
3,104,18,12,0
0,105,19,12,0
1,102,20,12,0
101,100,21,12,0
2,3,21,12,0
0,104,21,12,0
103,105,21,12,0
4,5,21,12,0
3,0,22,12,0
105,1,22,12,0
5,2,22,12,0
102,4,22,12,0
104,103,22,12,0
101,105,24,12,0
100,5,25,12,0
100,0,26,12,0
1,101,26,12,0
102,103,26,12,0
3,2,27,12,0
104,4,27,12,0
5,105,27,12,0
102,101,28,12,0
103,3,28,12,0
1,104,28,12,0
105,5,28,12,0
102,2,29,12,0
100,4,29,12,0
0,103,29,12,0
101,100,31,12,0
105,3,31,12,0
0,2,1,1,1
1,4,1,1,1
3,104,1,1,1
102,5,1,1,1
103,100,2,1,1
0,100,4,1,1
4,101,4,1,1
102,3,4,1,1
2,103,4,1,1
104,105,4,1,1
1,5,4,1,1
1,2,5,1,1
102,4,5,1,1
101,103,5,1,1
5,104,5,1,1
100,3,7,1,1
2,1,8,1,1
0,102,8,1,1
4,104,8,1,1
103,105,8,1,1
101,5,8,1,1
104,3,9,1,1
100,103,9,1,1
100,101,11,1,1
102,103,11,1,1
2,104,11,1,1
1,105,11,1,1
0,5,11,1,1
102,0,12,1,1
100,1,12,1,1
4,3,12,1,1
103,102,14,1,1
104,1,15,1,1
105,101,15,1,1
100,3,15,1,1
4,5,15,1,1
100,0,16,1,1
101,102,16,1,1
4,103,16,1,1
5,105,16,1,1
1,0,18,1,1
103,2,18,1,1
4,101,18,1,1
102,3,18,1,1
100,105,18,1,1
104,5,18,1,1
3,0,19,1,1
102,1,19,1,1
100,2,19,1,1
104,103,19,1,1
102,104,22,1,1
103,0,23,1,1
1,2,23,1,1
5,100,23,1,1
3,101,23,1,1
4,105,23,1,1
5,102,24,1,1
103,101,25,1,1
1,3,25,1,1
0,4,25,1,1
100,104,25,1,1
2,105,25,1,1
104,0,26,1,1
5,1,26,1,1
3,2,26,1,1
102,101,26,1,1
100,4,26,1,1
105,103,26,1,1
103,1,29,1,1
4,100,29,1,1
101,3,29,1,1
105,102,29,1,1
5,104,29,1,1
101,0,30,1,1
103,2,30,1,1
105,100,30,1,1
4,102,31,1,1
2,100,1,2,1
5,101,1,2,1
0,3,1,2,1
1,103,1,2,1
105,104,1,2,1
5,0,2,2,1
101,1,2,2,1
104,4,2,2,1
2,102,2,2,1
3,103,2,2,1
0,1,5,2,1
104,101,5,2,1
2,4,5,2,1
3,102,5,2,1
105,5,5,2,1
103,0,6,2,1
5,2,6,2,1
3,100,6,2,1
102,105,7,2,1
2,0,8,2,1
103,1,8,2,1
3,101,8,2,1
100,104,8,2,1
102,5,8,2,1
105,0,9,2,1
3,1,9,2,1
103,2,9,2,1
100,4,9,2,1
101,104,9,2,1
104,1,12,2,1
4,100,12,2,1
5,3,12,2,1
101,102,12,2,1
0,105,12,2,1
105,2,13,2,1
5,103,13,2,1
4,102,14,2,1
1,101,15,2,1
2,3,15,2,1
0,104,15,2,1
100,105,15,2,1
103,5,15,2,1
5,1,16,2,1
104,2,16,2,1
105,101,16,2,1
3,4,16,2,1
100,103,16,2,1
0,102,18,2,1
103,104,18,2,1
0,100,19,2,1
2,101,19,2,1
103,4,19,2,1
1,105,19,2,1
3,5,19,2,1
101,1,20,2,1
4,2,20,2,1
104,100,20,2,1
105,102,21,2,1
4,1,22,2,1
105,100,22,2,1
0,101,22,2,1
103,3,22,2,1
104,102,22,2,1
2,5,22,2,1
0,1,23,2,1
3,2,23,2,1
5,4,23,2,1
100,101,26,2,1
104,3,26,2,1
105,4,26,2,1
102,5,26,2,1
4,0,27,2,1
102,2,27,2,1
1,103,27,2,1
100,104,27,2,1
1,0,1,3,1
4,2,1,3,1
105,3,1,3,1
101,103,1,3,1
102,104,1,3,1
100,5,1,3,1
105,0,2,3,1
5,101,2,3,1
1,4,2,3,1
100,103,2,3,1
1,100,4,3,1
5,102,4,3,1
103,101,5,3,1
2,4,5,3,1
3,104,5,3,1
0,105,5,3,1
104,2,6,3,1
5,100,6,3,1
1,102,7,3,1
4,105,7,3,1
102,100,8,3,1
2,3,8,3,1
0,103,8,3,1
105,104,8,3,1
101,5,8,3,1
3,0,9,3,1
101,2,9,3,1
104,4,9,3,1
100,102,9,3,1
1,103,9,3,1
0,1,12,3,1
105,101,12,3,1
4,3,12,3,1
104,102,12,3,1
2,5,12,3,1
104,100,13,3,1
103,105,13,3,1
4,1,15,3,1
103,100,15,3,1
104,101,15,3,1
3,105,15,3,1
0,5,15,3,1
2,0,16,3,1
100,1,16,3,1
101,4,16,3,1
103,102,16,3,1
3,5,16,3,1
100,2,18,3,1
101,105,18,3,1
2,101,19,3,1
3,102,19,3,1
4,104,19,3,1
1,5,19,3,1
1,0,20,3,1
3,100,20,3,1
4,103,20,3,1
104,105,20,3,1
2,102,21,3,1
2,100,22,3,1
0,101,22,3,1
103,3,22,3,1
